label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.5878441552111555
caudalanteriorcingulate	L	cortex	6.917338102705983
caudalmiddlefrontal	L	cortex	6.654787132199979
cuneus	L	cortex	6.559158730317092
entorhinal	L	cortex	7.102490902230703
fusiform	L	cortex	6.67460427816994
inferiorparietal	L	cortex	6.607769114917662
inferiortemporal	L	cortex	6.62943365608137
isthmuscingulate	L	cortex	6.652057844603717
lateraloccipital	L	cortex	6.644992724709179
lateralorbitofrontal	L	cortex	6.652650198789052
lingual	L	cortex	6.598982029920853
medialorbitofrontal	L	cortex	6.707137735414656
middletemporal	L	cortex	6.692415291192677
parahippocampal	L	cortex	6.733279895473154
paracentral	L	cortex	6.570301987470042
parsopercularis	L	cortex	6.659274648580873
parsorbitalis	L	cortex	6.606819036744526
parstriangularis	L	cortex	6.607728708258445
pericalcarine	L	cortex	6.550245074952705
postcentral	L	cortex	6.6882772095502405
posteriorcingulate	L	cortex	6.677279136841993
precentral	L	cortex	6.661350361810189
precuneus	L	cortex	6.582509410681803
rostralanteriorcingulate	L	cortex	6.802518934552905
rostralmiddlefrontal	L	cortex	6.581674047503172
superiorfrontal	L	cortex	6.6488100985486795
superiorparietal	L	cortex	6.597714599210927
superiortemporal	L	cortex	6.706233194409191
supramarginal	L	cortex	6.690013292789281
frontalpole	L	cortex	6.495401981287026
temporalpole	L	cortex	6.7721145631597075
transversetemporal	L	cortex	6.674932674776445
insula	L	cortex	6.731258902655058
thalamusproper	L	subcortex/brainstem	6.8615073526380685
caudate	L	subcortex/brainstem	6.844007456014265
putamen	L	subcortex/brainstem	6.816651156965649
pallidum	L	subcortex/brainstem	7.063128294544411
accumbensarea	L	subcortex/brainstem	6.738126515869259
hippocampus	L	subcortex/brainstem	6.795645722339724
amygdala	L	subcortex/brainstem	6.698013037151495
bankssts	R	cortex	6.544803703021124
caudalanteriorcingulate	R	cortex	6.925996874132727
caudalmiddlefrontal	R	cortex	6.659643338153036
cuneus	R	cortex	6.551795556444526
entorhinal	R	cortex	7.147050944758929
fusiform	R	cortex	6.665508977874149
inferiorparietal	R	cortex	6.616559780029112
inferiortemporal	R	cortex	6.627380260636973
isthmuscingulate	R	cortex	6.6554695622777515
lateraloccipital	R	cortex	6.647414758036828
lateralorbitofrontal	R	cortex	6.654679942014758
lingual	R	cortex	6.601924955841159
medialorbitofrontal	R	cortex	6.733268602692101
middletemporal	R	cortex	6.682543285348236
parahippocampal	R	cortex	6.73105292835888
paracentral	R	cortex	6.562525245427987
parsopercularis	R	cortex	6.658797443153527
parsorbitalis	R	cortex	6.574619446338826
parstriangularis	R	cortex	6.651434732251828
pericalcarine	R	cortex	6.528588842449706
postcentral	R	cortex	6.69001634570614
posteriorcingulate	R	cortex	6.7039367034697195
precentral	R	cortex	6.656976250974793
precuneus	R	cortex	6.581962247139937
rostralanteriorcingulate	R	cortex	6.738128645331129
rostralmiddlefrontal	R	cortex	6.576783085964989
superiorfrontal	R	cortex	6.650348684369088
superiorparietal	R	cortex	6.603253278903393
superiortemporal	R	cortex	6.703277925805134
supramarginal	R	cortex	6.671073768960113
frontalpole	R	cortex	6.859624961957052
temporalpole	R	cortex	6.778658951836379
transversetemporal	R	cortex	6.684804395173878
insula	R	cortex	6.722620492911703
thalamusproper	R	subcortex/brainstem	6.882528604080668
caudate	R	subcortex/brainstem	6.8218829687370635
putamen	R	subcortex/brainstem	6.772457517310863
pallidum	R	subcortex/brainstem	7.04903492947969
accumbensarea	R	subcortex/brainstem	6.815601332680888
hippocampus	R	subcortex/brainstem	6.796685766759322
amygdala	R	subcortex/brainstem	6.8033378150420125
brainstem	B	subcortex/brainstem	6.860643580951236
