label	hemisphere	structure	weighted_avg
bankssts	L	cortex	8.048155553927637
caudalanteriorcingulate	L	cortex	8.191880725738264
caudalmiddlefrontal	L	cortex	8.124243289728621
cuneus	L	cortex	8.117780221543732
entorhinal	L	cortex	7.971263266296482
fusiform	L	cortex	7.954580818260872
inferiorparietal	L	cortex	8.070767086918282
inferiortemporal	L	cortex	7.95581075441221
isthmuscingulate	L	cortex	8.16919834141982
lateraloccipital	L	cortex	8.152715115228112
lateralorbitofrontal	L	cortex	7.939474433664875
lingual	L	cortex	8.117862133390963
medialorbitofrontal	L	cortex	8.041926100888263
middletemporal	L	cortex	8.036772213672828
parahippocampal	L	cortex	7.851083319638768
paracentral	L	cortex	8.098189577750277
parsopercularis	L	cortex	8.032280241088381
parsorbitalis	L	cortex	7.924002677805241
parstriangularis	L	cortex	7.9926801970927395
pericalcarine	L	cortex	8.117988353272366
postcentral	L	cortex	8.11093277244323
posteriorcingulate	L	cortex	8.079807539391075
precentral	L	cortex	8.18914330845749
precuneus	L	cortex	8.123415384529066
rostralanteriorcingulate	L	cortex	8.117258466538631
rostralmiddlefrontal	L	cortex	8.04959590230772
superiorfrontal	L	cortex	8.11209835902426
superiorparietal	L	cortex	8.038911513555563
superiortemporal	L	cortex	7.983423379591934
supramarginal	L	cortex	8.057463949240693
frontalpole	L	cortex	7.870097841774899
temporalpole	L	cortex	7.911410653931591
transversetemporal	L	cortex	8.08144525741699
insula	L	cortex	7.981354535762873
thalamusproper	L	subcortex/brainstem	8.923707147734065
caudate	L	subcortex/brainstem	7.908119778192411
putamen	L	subcortex/brainstem	8.313404630028261
pallidum	L	subcortex/brainstem	8.736022656740959
accumbensarea	L	subcortex/brainstem	8.216767446500825
hippocampus	L	subcortex/brainstem	7.648771586324831
amygdala	L	subcortex/brainstem	7.919378405946953
bankssts	R	cortex	8.052458159057625
caudalanteriorcingulate	R	cortex	8.201459315279735
caudalmiddlefrontal	R	cortex	8.135006169142407
cuneus	R	cortex	8.100558079460667
entorhinal	R	cortex	8.005406767745619
fusiform	R	cortex	7.965346670327033
inferiorparietal	R	cortex	8.071611673816614
inferiortemporal	R	cortex	7.942145805903447
isthmuscingulate	R	cortex	8.151817259796937
lateraloccipital	R	cortex	8.167273833075697
lateralorbitofrontal	R	cortex	7.9444121321117
lingual	R	cortex	8.113916228677708
medialorbitofrontal	R	cortex	8.062549563152801
middletemporal	R	cortex	8.035467669026698
parahippocampal	R	cortex	7.855751689204435
paracentral	R	cortex	8.082333494113357
parsopercularis	R	cortex	8.036780969076135
parsorbitalis	R	cortex	7.925405763358388
parstriangularis	R	cortex	8.043568515128754
pericalcarine	R	cortex	8.129774423396988
postcentral	R	cortex	8.11781135234139
posteriorcingulate	R	cortex	8.114528203132435
precentral	R	cortex	8.17720385800985
precuneus	R	cortex	8.122908683365637
rostralanteriorcingulate	R	cortex	8.004061736064779
rostralmiddlefrontal	R	cortex	8.042286800558337
superiorfrontal	R	cortex	8.11749152016275
superiorparietal	R	cortex	8.038583653716843
superiortemporal	R	cortex	7.989213811634784
supramarginal	R	cortex	8.044997221833496
frontalpole	R	cortex	8.313167038718458
temporalpole	R	cortex	7.912701482477843
transversetemporal	R	cortex	8.038905559060568
insula	R	cortex	7.980282576471887
thalamusproper	R	subcortex/brainstem	8.989018225329636
caudate	R	subcortex/brainstem	7.950777171120322
putamen	R	subcortex/brainstem	8.215753322257227
pallidum	R	subcortex/brainstem	8.703364503755134
accumbensarea	R	subcortex/brainstem	8.247322276646491
hippocampus	R	subcortex/brainstem	7.633684900030107
amygdala	R	subcortex/brainstem	8.028835987947524
brainstem	B	subcortex/brainstem	9.122918041600467
