label	hemisphere	structure	weighted_avg
bankssts	L	cortex	7.261753362452788
caudalanteriorcingulate	L	cortex	7.422610435072678
caudalmiddlefrontal	L	cortex	7.300087483105663
cuneus	L	cortex	7.269513643599973
entorhinal	L	cortex	7.499133806545569
fusiform	L	cortex	7.297019266657319
inferiorparietal	L	cortex	7.290151888987744
inferiortemporal	L	cortex	7.264081908721147
isthmuscingulate	L	cortex	7.3374257240788126
lateraloccipital	L	cortex	7.340651558519151
lateralorbitofrontal	L	cortex	7.25609840019073
lingual	L	cortex	7.314727595462066
medialorbitofrontal	L	cortex	7.2998240892728905
middletemporal	L	cortex	7.337480967937574
parahippocampal	L	cortex	7.267893140593558
paracentral	L	cortex	7.262440644880766
parsopercularis	L	cortex	7.320563603305654
parsorbitalis	L	cortex	7.237763044876077
parstriangularis	L	cortex	7.3073930593626155
pericalcarine	L	cortex	7.279816458321585
postcentral	L	cortex	7.40285042777516
posteriorcingulate	L	cortex	7.325675874196753
precentral	L	cortex	7.339420121750967
precuneus	L	cortex	7.297453961200851
rostralanteriorcingulate	L	cortex	7.384587183324987
rostralmiddlefrontal	L	cortex	7.270369355575694
superiorfrontal	L	cortex	7.308789991301422
superiorparietal	L	cortex	7.275164023763711
superiortemporal	L	cortex	7.332672979419094
supramarginal	L	cortex	7.394497732672679
frontalpole	L	cortex	7.197750260885103
temporalpole	L	cortex	7.239521243395275
transversetemporal	L	cortex	7.39023931863976
insula	L	cortex	7.34730707147676
thalamusproper	L	subcortex/brainstem	7.528264137615448
caudate	L	subcortex/brainstem	7.264690366344052
putamen	L	subcortex/brainstem	7.386295789964545
pallidum	L	subcortex/brainstem	7.564836728698779
accumbensarea	L	subcortex/brainstem	7.285890287054613
hippocampus	L	subcortex/brainstem	7.230758775562087
amygdala	L	subcortex/brainstem	7.234920157450857
bankssts	R	cortex	7.326928039441566
caudalanteriorcingulate	R	cortex	7.428148783072763
caudalmiddlefrontal	R	cortex	7.311500517178316
cuneus	R	cortex	7.267606073601294
entorhinal	R	cortex	7.545786396598688
fusiform	R	cortex	7.297360188823182
inferiorparietal	R	cortex	7.2947879597812735
inferiortemporal	R	cortex	7.261802272706849
isthmuscingulate	R	cortex	7.314288072010653
lateraloccipital	R	cortex	7.352268529520696
lateralorbitofrontal	R	cortex	7.256487922038658
lingual	R	cortex	7.312126205205672
medialorbitofrontal	R	cortex	7.317659549387937
middletemporal	R	cortex	7.326478512503921
parahippocampal	R	cortex	7.272593970217869
paracentral	R	cortex	7.254587680755777
parsopercularis	R	cortex	7.335728222405637
parsorbitalis	R	cortex	7.22694968044588
parstriangularis	R	cortex	7.351621504308549
pericalcarine	R	cortex	7.276217361876564
postcentral	R	cortex	7.409190417658331
posteriorcingulate	R	cortex	7.347025517763842
precentral	R	cortex	7.334397950570081
precuneus	R	cortex	7.296876735628284
rostralanteriorcingulate	R	cortex	7.344761541859721
rostralmiddlefrontal	R	cortex	7.263948109996163
superiorfrontal	R	cortex	7.309427496970948
superiorparietal	R	cortex	7.277998847183896
superiortemporal	R	cortex	7.332640776054946
supramarginal	R	cortex	7.3614440858757595
frontalpole	R	cortex	7.923294893830579
temporalpole	R	cortex	7.237564470349066
transversetemporal	R	cortex	7.383418511139643
insula	R	cortex	7.3426142396716285
thalamusproper	R	subcortex/brainstem	7.570057120289661
caudate	R	subcortex/brainstem	7.254162397625611
putamen	R	subcortex/brainstem	7.328075605557453
pallidum	R	subcortex/brainstem	7.52713123111624
accumbensarea	R	subcortex/brainstem	7.340995812895612
hippocampus	R	subcortex/brainstem	7.223641496649001
amygdala	R	subcortex/brainstem	7.3423743097633505
brainstem	B	subcortex/brainstem	7.550897962723839
