label	hemisphere	structure	weighted_avg
bankssts	L	cortex	5.540153302546321
caudalanteriorcingulate	L	cortex	5.960297949635137
caudalmiddlefrontal	L	cortex	5.630468923818026
cuneus	L	cortex	5.516826643485383
entorhinal	L	cortex	6.203013124524784
fusiform	L	cortex	5.679571183863276
inferiorparietal	L	cortex	5.580353969170937
inferiortemporal	L	cortex	5.620758596979871
isthmuscingulate	L	cortex	5.608347309152494
lateraloccipital	L	cortex	5.606401941606006
lateralorbitofrontal	L	cortex	5.670776146407447
lingual	L	cortex	5.568081436766333
medialorbitofrontal	L	cortex	5.717128297488622
middletemporal	L	cortex	5.672376998709951
parahippocampal	L	cortex	5.797021323047699
paracentral	L	cortex	5.54496206563928
parsopercularis	L	cortex	5.650774939215524
parsorbitalis	L	cortex	5.595982870167919
parstriangularis	L	cortex	5.581532241836824
pericalcarine	L	cortex	5.529562647904601
postcentral	L	cortex	5.646733346274054
posteriorcingulate	L	cortex	5.667407053478837
precentral	L	cortex	5.619433479006948
precuneus	L	cortex	5.528356816448668
rostralanteriorcingulate	L	cortex	5.819885778787644
rostralmiddlefrontal	L	cortex	5.546279994776511
superiorfrontal	L	cortex	5.616150308158353
superiorparietal	L	cortex	5.577414451319924
superiortemporal	L	cortex	5.704696964653218
supramarginal	L	cortex	5.650877316384699
frontalpole	L	cortex	5.469011085294711
temporalpole	L	cortex	5.818683891587516
transversetemporal	L	cortex	5.63971108131512
insula	L	cortex	5.737914252873601
thalamusproper	L	subcortex/brainstem	5.799304631921167
caudate	L	subcortex/brainstem	5.9207201401029765
putamen	L	subcortex/brainstem	5.814023839120919
pallidum	L	subcortex/brainstem	6.05478753296399
accumbensarea	L	subcortex/brainstem	5.767622749999874
hippocampus	L	subcortex/brainstem	5.955853896911172
amygdala	L	subcortex/brainstem	5.7629682833190765
bankssts	R	cortex	5.411211205094265
caudalanteriorcingulate	R	cortex	5.970945925274553
caudalmiddlefrontal	R	cortex	5.6326615117570364
cuneus	R	cortex	5.5114203781506585
entorhinal	R	cortex	6.2427560444980115
fusiform	R	cortex	5.657887968542955
inferiorparietal	R	cortex	5.587922501276936
inferiortemporal	R	cortex	5.619206901565626
isthmuscingulate	R	cortex	5.624315113944555
lateraloccipital	R	cortex	5.605287432187873
lateralorbitofrontal	R	cortex	5.671250106537729
lingual	R	cortex	5.573637518748878
medialorbitofrontal	R	cortex	5.749139676515186
middletemporal	R	cortex	5.665549466440555
parahippocampal	R	cortex	5.800831486899555
paracentral	R	cortex	5.5412127376882
parsopercularis	R	cortex	5.658098802192477
parsorbitalis	R	cortex	5.556249955397478
parstriangularis	R	cortex	5.619791406092481
pericalcarine	R	cortex	5.4894995503627015
postcentral	R	cortex	5.646473715933917
posteriorcingulate	R	cortex	5.696723323099008
precentral	R	cortex	5.616415153815712
precuneus	R	cortex	5.528144079446776
rostralanteriorcingulate	R	cortex	5.717666770799448
rostralmiddlefrontal	R	cortex	5.541551427466224
superiorfrontal	R	cortex	5.617872981001041
superiorparietal	R	cortex	5.583017067685206
superiortemporal	R	cortex	5.699800828475792
supramarginal	R	cortex	5.6371846002734
frontalpole	R	cortex	5.650710448464044
temporalpole	R	cortex	5.830453857414163
transversetemporal	R	cortex	5.6582759095452575
insula	R	cortex	5.72430732774265
thalamusproper	R	subcortex/brainstem	5.806209975084258
caudate	R	subcortex/brainstem	5.898207494890398
putamen	R	subcortex/brainstem	5.7793320364432494
pallidum	R	subcortex/brainstem	6.0525327356093674
accumbensarea	R	subcortex/brainstem	5.8355455361702875
hippocampus	R	subcortex/brainstem	5.962937714230247
amygdala	R	subcortex/brainstem	5.866541524133391
brainstem	B	subcortex/brainstem	5.7642531530438585
