label	hemisphere	structure	weighted_avg
bankssts	L	cortex	17.84239102464248
caudalanteriorcingulate	L	cortex	16.82371903638535
caudalmiddlefrontal	L	cortex	17.263301772222448
cuneus	L	cortex	17.83494715762107
entorhinal	L	cortex	16.621497658302037
fusiform	L	cortex	17.52770529921101
inferiorparietal	L	cortex	18.293995191436032
inferiortemporal	L	cortex	17.949939210482775
isthmuscingulate	L	cortex	18.265698015399355
lateraloccipital	L	cortex	18.06643117596986
lateralorbitofrontal	L	cortex	17.683306384936976
lingual	L	cortex	18.05334873085613
medialorbitofrontal	L	cortex	17.67066249363691
middletemporal	L	cortex	17.88215462442607
parahippocampal	L	cortex	17.171689498838504
paracentral	L	cortex	17.327814990186216
parsopercularis	L	cortex	17.90524970286914
parsorbitalis	L	cortex	17.646869185789413
parstriangularis	L	cortex	17.932944845748143
pericalcarine	L	cortex	17.360827617014397
postcentral	L	cortex	17.97045815379477
posteriorcingulate	L	cortex	17.723101524819214
precentral	L	cortex	17.394821871889356
precuneus	L	cortex	18.13649271636409
rostralanteriorcingulate	L	cortex	17.833341904089554
rostralmiddlefrontal	L	cortex	17.737172486922614
superiorfrontal	L	cortex	17.67633107626503
superiorparietal	L	cortex	17.999029829108903
superiortemporal	L	cortex	17.443667682204875
supramarginal	L	cortex	18.312206582179392
frontalpole	L	cortex	16.636811988510175
temporalpole	L	cortex	16.42008784535822
transversetemporal	L	cortex	17.499910184081795
insula	L	cortex	17.2717686474752
thalamusproper	L	subcortex/brainstem	14.727905680901682
caudate	L	subcortex/brainstem	15.755942974941732
putamen	L	subcortex/brainstem	15.518823127240106
pallidum	L	subcortex/brainstem	14.044841291349485
accumbensarea	L	subcortex/brainstem	16.854310094114485
hippocampus	L	subcortex/brainstem	16.25353519093977
amygdala	L	subcortex/brainstem	15.626962529364828
bankssts	R	cortex	17.990212571265403
caudalanteriorcingulate	R	cortex	16.840996885101507
caudalmiddlefrontal	R	cortex	17.298525744281953
cuneus	R	cortex	17.93231749641721
entorhinal	R	cortex	16.65380461303584
fusiform	R	cortex	17.48834484630254
inferiorparietal	R	cortex	18.204482613121787
inferiortemporal	R	cortex	17.90320957565577
isthmuscingulate	R	cortex	18.160846276393123
lateraloccipital	R	cortex	18.039990074359444
lateralorbitofrontal	R	cortex	17.65533219550386
lingual	R	cortex	18.070732552469273
medialorbitofrontal	R	cortex	17.625162403137907
middletemporal	R	cortex	17.930805067974966
parahippocampal	R	cortex	17.296782635819742
paracentral	R	cortex	17.366157972658666
parsopercularis	R	cortex	17.82538617787416
parsorbitalis	R	cortex	17.821908891136154
parstriangularis	R	cortex	18.060891470680616
pericalcarine	R	cortex	17.42636667714767
postcentral	R	cortex	17.95208700454312
posteriorcingulate	R	cortex	17.743953044863854
precentral	R	cortex	17.408092526205554
precuneus	R	cortex	18.14437530218116
rostralanteriorcingulate	R	cortex	17.591580264240147
rostralmiddlefrontal	R	cortex	17.716221876139638
superiorfrontal	R	cortex	17.695715973691918
superiorparietal	R	cortex	17.98297753130801
superiortemporal	R	cortex	17.449883450945215
supramarginal	R	cortex	18.184702957022786
frontalpole	R	cortex	16.545992159493686
temporalpole	R	cortex	16.458030471807373
transversetemporal	R	cortex	17.400640814340054
insula	R	cortex	17.246675213087684
thalamusproper	R	subcortex/brainstem	14.672613315903652
caudate	R	subcortex/brainstem	15.839683455435589
putamen	R	subcortex/brainstem	15.65691007583264
pallidum	R	subcortex/brainstem	14.133033151689387
accumbensarea	R	subcortex/brainstem	16.565271474023124
hippocampus	R	subcortex/brainstem	16.215329657613378
amygdala	R	subcortex/brainstem	15.557739018334663
brainstem	B	subcortex/brainstem	12.648559395476886
