gene_name	z_mean	pvalue	upregulated
CCHCR1	-6.852892468833891	4.333714985006775e-17	DOWN
HLA-DMA	-7.962396974872756	1.107194019048826e-16	DOWN
HLA-DMB	-7.659198481678841	1.8485926928509952e-15	DOWN
AGER	-5.629239052762742	7.431592323986794e-15	DOWN
BRD2	-4.131098897136711	1.3587186956524937e-13	DOWN
ZNF391	-3.4303723307932725	5.3805023114112565e-9	DOWN
TNFRSF13C	-3.463488264039821	7.740654108699472e-9	DOWN
MICB	-4.9358580457463725	1.7252330838896422e-8	DOWN
TYW5	-4.908570678971348	2.349615032345687e-8	DOWN
HLA-B	-0.9014500755959466	7.820207629017342e-8	DOWN
ASPHD1	-3.8887448981476695	3.8103805783037236e-7	DOWN
ZAP70	-0.6277348652501206	4.216305537076384e-7	DOWN
HLA-C	-4.777511525523741	4.307038856228185e-7	DOWN
