gene_name	z_mean	pvalue	upregulated
NOTCH4	5.001010862484907	1.0353557669143495e-13	UP
PPP1R13B	2.164386419402263	6.14448868405407e-10	UP
MFSD13A	0.5309362386887307	4.4603162623391954e-8	UP
HLA-DQB1	4.28638861118894	1.2198277283768534e-7	UP
EHMT2	3.050161413541396	2.1892197005936613e-7	UP
HLA-DRB5	5.021975746057336	3.156598201728876e-7	UP
HLA-DRB1	1.4802277702244877	3.585488745753882e-7	UP
ATP6V1G2	2.3312887251079455	1.2393498647942795e-6	UP
GLYCTK	4.086945414588562	2.6414820362868825e-6	UP
PACSIN3	2.417359642706759	3.073164576388747e-6	UP
VARS2	4.692697188909155	4.311327877612963e-6	UP
REEP2	2.1517161644331426	5.331811316087252e-6	UP
RNF112	2.178578925193629	1.2076105268054748e-5	UP
HLA-DPB1	2.2513092641169683	1.2874609117660423e-5	UP
ARC	4.342660605042719	1.40767509597444e-5	UP
EFNA3	4.281613798709472	1.8554279585123864e-5	UP
SP4	2.8501492403981232	2.7792079308979425e-5	UP
TMEM81	3.72833974778932	3.0224143680777742e-5	UP
CISH	4.1408797280590885	3.4597634403171815e-5	UP
TMCO6	4.185432021946908	4.816375226439296e-5	UP
SPA17	3.1566249335645535	6.21557645764361e-5	UP
KCNG1	3.9499590297258074	7.816457159773443e-5	UP
HLA-F	2.238111555535836	9.577263652636377e-5	UP
GOLGA6L10	3.803379354266714	1.0521885095752e-4	UP
BRINP1	1.8444028585745944	1.1266979786968e-4	UP
KRTCAP3	1.7133276081942292	1.1701564121206e-4	UP
QPCT	3.490863650286697	1.3207146788814e-4	UP
COL11A2	2.116301023520971	1.440017023741e-4	UP
KCNS3	0.7437168482312561	1.4925978250069e-4	UP
TMTC1	3.211127243922069	1.5507616159874e-4	UP
PLCH2	0.5360776050441226	1.65844468502e-4	UP
NRIP2	1.403283287848141	1.8045193431303e-4	UP
MSRA	1.875126259698452	1.8429253157917e-4	UP
SPINK8	2.9751397286926515	1.849476430704e-4	UP
STON2	2.810921993816788	1.8977187310887e-4	UP
ZNRF3	0.34781303018881987	2.141415943677e-4	UP
CARD16	2.7332481981359655	3.0467014422743e-4	UP
TNNT3	3.602728080405832	3.1489489007324e-4	UP
RUNDC3B	1.5592325607817183	3.2771438006945e-4	UP
LY6H	3.0439961286349293	3.3085400493465e-4	UP
CDT1	3.556876510113289	3.7529046171285e-4	UP
MEI1	2.18317474346936	4.2937556310645e-4	UP
HLA-DRA	3.267988389390726	4.5526058246552e-4	UP
RXRB	2.6023685953448266	4.9504702512335e-4	UP
SCRIB	2.5063994776791527	5.7345186322359e-4	UP
HLA-A	3.631552776496132	6.5688269969719e-4	UP
GPR135	1.4575736505175767	6.7440799521529e-4	UP
PCDHAC2	1.076182721740076	7.4693359755823e-4	UP
ZNF738	3.48632089089038	9.2875976338809e-4	UP
ME1	1.1354723935038278	9.3405894123422e-4	UP
SNAP91	2.5449865264013	9.8247714515169e-4	UP
TIE1	3.303556440850227	0.00100277844549747	UP
RHBDL3	1.375584324716747	0.00102893327155613	UP
OLFM4	2.72644244194956	0.00104229448220089	UP
LY6D	0.178311989667867	0.00112721619812462	UP
CSDC2	0.8952284795019547	0.00119175397298622	UP
PRMT7	2.9001718722937095	0.0012702142668325	UP
TMEM17	0.5112424822068512	0.00137219315990716	UP
FAM83H	3.4919484328058963	0.00140194812669557	UP
ARTN	2.676162781156413	0.00140780344040841	UP
SZT2	2.573881568500367	0.00156017222936292	UP
GALK1	3.1496602191559195	0.00163460451313874	UP
NDRG4	2.582021852528779	0.00164907016365116	UP
CABYR	0.27284383404723367	0.00172784253669021	UP
EEFSEC	2.7494409191181615	0.00173813230644894	UP
PGBD5	0.1144726205306566	0.00173895157906004	UP
RORB	3.1249872558163263	0.00177812763217383	UP
TNF	3.12036090131404	0.0018062958474246	UP
ADAMTS2	0.7071206183569745	0.00205168958524106	UP
MPV17L	3.0588621649135797	0.00222179347457716	UP
GSTO2	3.166098817434096	0.00228876948790632	UP
ADAMTS7	1.4767605069116987	0.00270991608939375	UP
HLA-DOA	0.2204031858317066	0.00304079777512877	UP
LRFN4	2.9626475234786884	0.00305005613982301	UP
TIMP4	2.9069735795089215	0.00313022955863054	UP
LRRC4C	0.06638066561141986	0.00321011088126196	UP
KCNC4	2.918330709340204	0.00330634845381955	UP
PHACTR3	2.812702271422018	0.00336347019467918	UP
C12orf76	2.400056133982612	0.00347902421975007	UP
PLEKHB1	0.9073434933300248	0.00350472210542669	UP
RNF180	2.2256129160594744	0.00357341650696264	UP
ELL3	2.9058894786237404	0.0036621077426643	UP
TSNAXIP1	3.251316923850099	0.00368915360064649	UP
ABCC8	2.024081495605279	0.00375144500584197	UP
MAMSTR	2.261421780888207	0.00385360866005415	UP
PANK4	0.98290360889427	0.0042817963186557	UP
GPD1	3.0691552139788945	0.00437770473392133	UP
PIP5KL1	1.6974605987701132	0.00437945789688501	UP
SETBP1	2.8395275545240684	0.0045180392902512	UP
WDR91	0.550107237424397	0.00453879739652651	UP
PRKAR2B	2.5298989168692168	0.00459349459030321	UP
CHML	0.6323158734964308	0.00463349387754641	UP
KIAA1671	3.113840862218839	0.00482359116166099	UP
RASA3	2.696246089724563	0.00482994074641863	UP
TDRD6	2.7138813903901498	0.00494305327610183	UP
SPON2	0.6233192486368476	0.00552551826357828	UP
ICA1L	2.406811979067513	0.00554432356248929	UP
DNAH1	1.046629158516528	0.00560532733858621	UP
SOX9	2.764404857421628	0.00570267348972335	UP
DNMT3B	0.6972140579053461	0.00592787540699203	UP
