gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000186470.13,BTN3A2,8.414628081236597,0.305478716779784,3.9414341249821283e-17,0.055363260967817865,0.30230066062847344,1.276910117730407e-11,NA,52,52,52,3.5189878966127434e-20,0.05944577742147419
ENSG00000270604.5,HCG17,7.961654561207015,0.3613587930830864,1.6975384235554918e-15,0.031019522374305664,0.15792418084667373,1.3923673015845808e-05,NA,48,48,48,3.01399806234226e-24,0.029486223675594326
ENSG00000244731.7,C4A,7.2418891653627036,0.3282552697626909,4.424773961684918e-13,0.02649920398085722,0.05143144379965301,0.01751455346757116,NA,52,54,54,2.353991852327352e-19,0.15933910467476228
ENSG00000197062.11,ZSCAN26,7.0377571396407745,0.3552741576563971,1.9535879683742514e-12,0.02663286483272296,0.1555964177191256,1.565512714379297e-05,NA,11,11,11,3.3460048084773883e-13,0.09750766705369833
ENSG00000198315.10,ZKSCAN8,6.6850598269806225,0.7453301510182602,2.3083032307919678e-11,0.005465042907035589,0.040880418863005016,0.02903213531324918,NA,37,37,37,6.466013089354049e-19,0.04300351781492103
ENSG00000204709.4,LINC01556,-6.35401406590656,-0.2488998632401729,2.0976764115950931e-10,0.04146029375811706,0.19982535008466107,3.1663503494618286e-07,NA,11,11,11,1.066999310597974e-13,0.11026897028861883
ENSG00000204463.12,BAG6,6.312538842906562,0.28855104978990115,2.744945351338344e-10,0.028215781035649402,0.12682158056099316,3.094518155593882e-05,NA,9,9,9,1.5909984452395255e-13,0.21604623516207008
ENSG00000235109.7,ZSCAN31,-6.25325752034048,-0.12466531424640691,4.019784827939739e-10,0.1574275188258447,0.3452304877692697,5.183406224290111e-12,NA,51,51,51,1.3480011289681348e-11,0.09944478807525968
ENSG00000120451.10,SNX19,6.078906891659675,0.11720266706773873,1.2100459225885108e-09,0.14804685316628696,0.3974849829152049,3.846322767770578e-15,NA,64,64,64,1.8229986179036327e-12,0.28901992135743304
ENSG00000204531.17,POU5F1,-5.5584711141267595,-0.11322797184964005,2.7214798617229697e-08,0.14943076136802755,0.2287704285971081,5.0110513686213616e-08,NA,34,36,36,7.804008329582054e-11,0.5171360824056945
ENSG00000214435.7,AS3MT,5.459256615148883,0.15753572839418195,4.781322760927313e-08,0.06318108250310697,0.1836567350763054,8.514288758060096e-07,NA,38,38,38,1.3659973188078826e-17,0.1790113319883914
ENSG00000030110.12,BAK1,-5.417435169219971,-1.2607464629904102,6.046006136066996e-08,0.0011187701694346632,0.035370988752471064,0.04318989650313691,NA,1,2,2,6.046006136066996e-08,0.05266423312598298
ENSG00000213533.11,TMEM110,-5.11492746064917,-0.2914163796727036,3.138615491505238e-07,0.016972676484629405,0.05583829296633663,0.01296723468061059,NA,18,18,18,1.8149985598690374e-08,0.14078597402997015
ENSG00000183066.14,WBP2NL,5.101091028912956,0.2932020230380232,3.377010814367139e-07,0.016838204782173273,0.07648167015390432,0.002465362794202018,NA,22,22,22,1.5440017790466125e-08,0.11155417223331264
ENSG00000197978.9,GOLGA6L9,-5.052313217195994,-0.2752142519741739,4.3649113318563213e-07,0.018725599001712605,0.0826090232192647,0.002161704959794602,NA,13,13,13,4.600995884798957e-07,0.08402121247984899
ENSG00000137411.16,VARS2,4.976378780834873,0.12237087336555458,6.478481516113882e-07,0.09597759147760916,0.4129185896947538,2.0862518836252324e-15,NA,103,103,103,7.581007501309997e-22,0.045700554725624745
ENSG00000166165.12,CKB,-4.971909406754521,-0.5395165758342091,6.629668548891381e-07,0.004767217804484496,0.04422474574749388,0.023026765939479502,NA,26,26,26,6.789003942105783e-08,0.06959035226473073
