gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000244731.7,C4A,8.2623862021299,0.39928103673983695,1.4278884228187253e-16,0.02134486233367009,0.14012669389333982,1.1676389172035758e-05,NA,21,21,21,2.353991852327352e-19,0.06173591674513643
ENSG00000270604.5,HCG17,7.8783482035485335,0.15775364967349184,3.317371831207415e-15,0.16409924141949717,0.2466514642676656,7.183206579808421e-10,NA,78,80,80,1.0240038432169158e-21,0.258336171875028
ENSG00000197062.11,ZSCAN26,7.212527499827115,0.3754443012597892,5.492273400647492e-13,0.02291512178320767,0.17052678706011745,1.1974877488075826e-06,NA,27,27,27,8.60400029533758e-14,0.04497771183790681
ENSG00000186470.13,BTN3A2,7.113065846756755,0.12928092642588773,1.1349309677091738e-12,0.22479214691375582,0.4839526607667961,1.0376652578387198e-21,NA,98,98,98,4.211985929751918e-24,0.19545625711036568
ENSG00000197061.4,HIST1H4C,-6.564523219067956,-0.18823891024641526,5.2199610443619385e-11,0.07242850074187385,0.0504939595155904,0.010757318211000556,NA,43,43,43,2.0830071592599661e-19,0.27904467954985035
ENSG00000198502.5,HLA-DRB5,6.5548013603627675,0.11775045851785108,5.57159907581495e-11,0.16749799205771923,0.5081535792708112,1.7399476679205986e-22,NA,36,37,37,1.8319961373534606e-17,0.19419610274597449
ENSG00000163634.11,THOC7,-6.328609397896647,-0.3053178838702936,2.4738044054806834e-10,0.027572279763609202,0.2208625494160007,1.2778048784881743e-08,NA,41,41,41,7.332994920061448e-10,0.10449457414985128
ENSG00000213676.10,ATF6B,6.215488885015168,0.34846560173398067,5.11650954685674e-10,0.01738094757628606,0.08435189621064829,0.000956057457027076,NA,43,43,43,1.1079984206777197e-14,0.05448955097998216
ENSG00000204463.12,BAG6,6.006829405400436,0.1742606928601284,1.8918638966615513e-09,0.07165815941283163,0.3578819238561745,4.008649990728624e-14,NA,20,20,20,6.582984891016725e-16,0.507227309265909
ENSG00000137411.16,VARS2,5.598857978136847,0.1315878332526843,2.1576846759335403e-08,0.0993949316285068,0.4136817146531467,1.0342382524997409e-17,NA,67,68,68,2.8830074639174754e-24,0.15461764196694452
ENSG00000235109.7,ZSCAN31,-5.557013623234546,-0.09639527790342085,2.7442934950177842e-08,0.21140614752659914,0.31572677045283515,2.3858072667984937e-14,NA,70,79,79,8.24199553987148e-14,0.1477003555248473
