gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000234127.8,TRIM26,-10.126763228946741,-6.3018390958077815,4.2033347005907754e-24,0.0001595747077751172,0.03737588232632821,0.014570163769864657,NA,5,5,5,3.01399806234226e-24,0.005159467783492582
ENSG00000270604.5,HCG17,9.469308467314368,0.32268419426496264,2.817024216950576e-21,0.053554678794235075,0.16395856496612687,1.2446837968843238e-08,NA,34,34,34,1.508007369453483e-26,0.1216245849989435
ENSG00000197062.11,ZSCAN26,8.957158074278095,0.27098793781695574,3.331539094814005e-19,0.06927732755818052,0.25098554797951805,2.711898001302764e-12,NA,59,59,59,1.677002244726658e-26,0.11748852232099405
ENSG00000204536.13,CCHCR1,-8.208113439581163,-1.0218890366923554,2.246908807491427e-16,0.003864762189280645,0.024671756749350016,0.03993512928372557,NA,16,16,16,1.3130020377601595e-13,0.023844503473808343
ENSG00000244731.7,C4A,8.092155271163236,0.30032130029814474,5.861811775808625e-16,0.03842607962227565,0.17395924645560726,3.1581490569142067e-09,NA,52,52,52,1.0660033413273186e-18,0.040970751665342704
ENSG00000186470.13,BTN3A2,7.698892200805098,0.16069871769790267,1.3725089346464547e-14,0.15245870742706552,0.4856616545922986,1.5963750525059522e-28,NA,58,58,58,2.3999953795636806e-20,0.3834757022525542
ENSG00000148842.17,CNNM2,-7.076959508691411,-0.652313608387469,1.4735156408479956e-12,0.006513865154938097,0.06552934977382621,0.0008065554455952289,NA,20,20,20,8.915007997979371e-13,0.05438457794958698
ENSG00000204257.14,HLA-DMA,-6.914568904709058,-0.695567376612705,4.692882664439972e-12,0.005063347855233472,0.13986468765947446,5.824414115442756e-07,NA,14,14,14,3.177005015184245e-18,0.1002233837112393
ENSG00000137338.5,PGBD1,-6.64507706979531,-0.33489558196917163,3.0305845675116435e-11,0.025398773982425255,0.10202522549050136,3.09064889678413e-05,NA,30,30,30,2.9529895217426503e-18,0.07581210607675327
ENSG00000088808.16,PPP1R13B,6.601478215112424,1.3361864509208805,4.07078094246831e-11,0.0014739415812421387,0.04315862397691443,0.007378960354271806,NA,3,3,3,3.0029976839753426e-11,0.026438240792738318
ENSG00000187987.9,ZSCAN23,-6.542266182249676,-0.3037924789217444,6.059352759314773e-11,0.030031476067633664,0.128983589126195,2.716106004993008e-06,NA,18,18,18,1.4500006625963331e-15,0.10982743126185043
ENSG00000204435.13,CSNK2B,-6.526080557009712,-1.5548743033447963,6.751301901361569e-11,0.001023000733349506,0.05038189808325732,0.004091726523839097,NA,5,5,5,8.554994285259935e-13,0.02844205789161942
ENSG00000137312.14,FLOT1,-6.378386998213495,-0.4874254355040061,1.7896281912261872e-10,0.010906102271445818,0.08313866504961384,0.0001655042875600105,NA,42,42,42,1.4859996323923224e-22,0.09250182493760001
ENSG00000120451.10,SNX19,6.314737066920872,0.18146811728437692,2.706211843653418e-10,0.07090537513309403,0.38620167796834093,9.673521099033851e-20,NA,35,35,35,1.8229986179036327e-12,0.1603582677368148
ENSG00000204516.9,MICB,-6.168055039264241,-0.2784337234427889,6.91350818623835e-10,0.026943769428917783,0.08703593292264429,0.00011510835839535207,NA,50,51,51,2.7150019566160112e-11,0.07962353937168648
ENSG00000204709.4,LINC01556,-6.127733104776765,-0.289043561018523,8.913994774042303e-10,0.026537075394006356,0.08063446489910778,0.0002190277170728101,NA,15,16,16,2.947999813938828e-07,0.1060170676283033
ENSG00000010322.15,NISCH,6.045625540137203,1.3269079454680044,1.4883140737046207e-09,0.0011370894105038843,0.04109073045580326,0.0102798658668995,NA,16,16,16,2.291002623922655e-10,0.019134204209184744
ENSG00000102882.11,MAPK3,5.892664862011907,0.8613088683948984,3.800166417533371e-09,0.002764172738146136,0.07170048446049139,0.00055193183975585,NA,19,19,19,7.815005783904393e-11,0.06772700548464435
ENSG00000115524.15,SF3B1,5.535828333584703,0.8642095842165963,3.097608534742898e-08,0.0022178000807291033,0.07100166588500427,0.0006689870899410758,NA,11,11,11,1.6440009114781059e-07,0.020288724129737472
ENSG00000142599.17,RERE,5.413970547773615,0.3155419251851033,6.164230973166863e-08,0.0187971627790844,0.1494252063715877,2.3454209661324496e-07,NA,15,15,15,3.782004542332367e-08,0.058561395659954066
ENSG00000249484.8,LINC01470,5.401584943691093,0.39061249090096517,6.605464677651227e-08,0.010919961367280497,0.06418201441911042,0.0010714317537552196,NA,34,34,34,1.2540007969517039e-08,0.059589133677143885
ENSG00000213676.10,ATF6B,5.364166562688561,0.43953857425831994,8.132383531754907e-08,0.008040728541236114,0.0724705881409554,0.0004650027500250378,NA,26,26,26,3.5499995754075585e-15,0.06362587914689269
ENSG00000204525.16,HLA-C,-5.354319235155651,-0.14196532959809813,8.587912481896765e-08,0.08991872736227705,0.4339217372957641,3.7106746789753295e-23,NA,68,70,70,6.724006110269105e-13,0.11555022119559145
ENSG00000204420.8,MPIG6B,-5.348345401475575,-0.1225551582415369,8.876194887153512e-08,0.11737975696074429,0.1957595187228512,3.4314954040059267e-09,NA,58,58,58,8.675008678018902e-15,0.19126412360490308
ENSG00000214435.7,AS3MT,5.322730600281275,0.25162157892668024,1.0222107596632532e-07,0.027023650700207284,0.12916350455950926,1.3277682251900556e-06,NA,34,34,34,1.3659973188078826e-17,0.08086684292030641
ENSG00000281538.1,RP4-669P10.20,5.309272679310428,0.29051525838773706,1.1006356330392412e-07,0.018130801161261628,0.16048844567118375,1.1474654278153926e-07,NA,24,26,26,8.619997119621339e-08,0.02726796825383027
ENSG00000114054.13,PCCB,-5.156635588691444,-0.33507332822846136,2.514264389899582e-07,0.01295777601995137,0.12244092938564155,4.293670855029846e-06,NA,20,20,20,1.6179986136732914e-09,0.039474488780013486
ENSG00000204421.2,LY6G6C,-5.0142555990126985,-0.20816270391153036,5.323917596897928e-07,0.03678101864230791,0.052337545821417315,0.003432018853766623,NA,58,58,58,1.5410020201087372e-14,0.2129020171298204
ENSG00000230487.7,PSMG3-AS1,4.9408307758077505,0.2152060483392978,7.779040226898672e-07,0.0334005615344938,0.16383672819306014,4.0006768923231476e-08,NA,37,37,37,1.4559990792064928e-10,0.2317456124711532
ENSG00000122687.17,MRM2,-4.921355179471175,-0.21251995777633798,8.594698906467098e-07,0.03242614913874953,0.24652228556796235,4.604853237702517e-12,NA,18,18,18,3.172003799498486e-08,0.053170557108145534
ENSG00000204371.11,EHMT2,4.920429819073536,0.4285647118558273,8.635436104581384e-07,0.008663779190287732,0.1688167306479487,4.6839878519198164e-08,NA,11,11,11,1.2200004170465619e-09,0.03806580679705997
ENSG00000163125.15,RPRD2,-4.912974949505261,-0.3865614806556235,8.970474200400478e-07,0.009810534451329168,0.10497665198584442,7.287020527187056e-06,NA,39,39,39,9.704995952530712e-07,0.04760416404618458
ENSG00000177082.12,WDR73,4.865518057503921,0.26910458011496274,1.1415738712594896e-06,0.020271324596774644,0.07143473873848401,0.00032417637141449207,NA,13,13,13,1.1979990751981746e-07,0.1065837698293983
ENSG00000198951.11,NAGA,4.847522681367673,0.3491694690039879,1.2501274351361307e-06,0.0102403033089493,0.178603480999415,4.0882337338012576e-09,NA,46,47,47,8.619997119621339e-08,0.0425575441839536
ENSG00000169592.14,INO80E,4.807488829691811,0.3196373013595965,1.5283795591390908e-06,0.013408260400483435,0.13706425223289145,9.491130999125612e-07,NA,32,32,32,1.0159987339742634e-09,0.115272025241935
ENSG00000047346.12,FAM214A,4.7882752371188735,0.5156024814162631,1.682208290425968e-06,0.005389397698733541,0.09523203610324728,6.614207060473008e-05,NA,9,9,9,8.011007647914742e-06,0.06151033816559848
ENSG00000250120.6,PCDHA10,4.787494720094664,0.18964858774492638,1.688761793651787e-06,0.0380942031724241,0.1935934094176281,1.5992709944441065e-09,NA,75,75,75,2.294000060363229e-06,0.09322958629888946
ENSG00000197696.9,NMB,4.773502297508511,0.2587064163139863,1.8104948292778842e-06,0.019819355607329815,0.14605304178977688,2.055872676530409e-07,NA,30,30,30,1.2619985761649702e-10,0.11688474429319932
ENSG00000197978.9,GOLGA6L9,-4.728199688092764,-0.16355289885253266,2.2651935130856664e-06,0.047444680085747065,0.1830616126870281,4.739104834037012e-09,NA,28,28,28,2.7030032295788387e-07,0.08573683766842781
ENSG00000206503.12,HLA-A,4.720852003493738,0.22656126458653478,2.3485878309840223e-06,0.02626762114283189,0.11089195907587994,1.4434916431079458e-05,NA,70,73,73,1.5450016310382422e-26,0.13083600002476412
ENSG00000104870.12,FCGRT,4.71243561238887,0.904194969186422,2.447734338957397e-06,0.0018918761443170215,0.028797945646130595,0.027799605544424285,NA,19,19,19,6.262994211970128e-07,0.04910320863316762
ENSG00000170802.15,FOXN2,-4.698637074170325,-0.2568384103772945,2.6190338320696686e-06,0.022569008411336106,0.3675044896330519,2.2415352191212207e-20,NA,15,15,15,1.836998574616601e-06,0.20322673083037976
ENSG00000006744.18,ELAC2,4.666880899057642,0.1268899391942999,3.058064698922093e-06,0.08907539678027288,0.35265976331526383,4.6257997133288095e-18,NA,43,43,43,5.031994602909149e-06,0.111453950409241
ENSG00000162971.10,TYW5,-4.663149666014009,-0.17292056855862556,3.1140610321127965e-06,0.05006008068439454,0.26723132349035,5.756330722639113e-13,NA,18,18,18,1.1920003961707228e-07,0.05984457706684718
ENSG00000100197.20,CYP2D6,-4.636393966360022,-0.13946800645242693,3.545399339610507e-06,0.05807869650641727,0.3874425777633168,9.983317856456443e-20,NA,7,7,7,1.6750019570058592e-06,0.08337778645562051
ENSG00000054282.15,SDCCAG8,-4.614145680360045,-0.46933348173945494,3.947155066026182e-06,0.005916957278475136,0.09920312358645728,4.1302422087558365e-05,NA,11,11,11,2.3140016569740792e-07,0.054986887847412666
ENSG00000113119.12,TMCO6,4.6006036648361555,1.0576729804318141,4.21268303744879e-06,0.0011353589011875605,0.03935410596204093,0.012337379239942438,NA,11,11,11,7.388004825696172e-06,0.0074505822269714935
ENSG00000120314.18,WDR55,4.584921835186962,0.34113075101685375,4.541563036968506e-06,0.011048746098590044,0.11208463649938842,1.3200764222290186e-05,NA,15,15,15,9.665005028743422e-07,0.04498051203860772
ENSG00000124613.8,ZNF391,-4.571007485153237,-0.16252812316570006,4.853849422138981e-06,0.04948336705379633,0.3021988566834306,8.733074466601939e-15,NA,66,66,66,2.628006641466635e-17,0.16654917270761255
ENSG00000101213.6,PTK6,-4.491956004261596,-0.16137470937969686,7.057200446985112e-06,0.04835087154454443,0.30829817509202645,2.2349011638283233e-15,NA,35,35,35,2.1710014316493217e-06,0.2095302176493556
