gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000112812.15,PRSS16,-9.005351663882351,-0.2210017775489207,2.1497572411496528e-19,0.10817289965193237,0.21359852385527964,1.4674421634701004e-09,NA,85,86,86,3.29600170667468e-27,0.19406669615901345
ENSG00000234127.8,TRIM26,-8.956340189564909,-0.35924513889275633,3.356333455275193e-19,0.04060055594936848,0.262288210594472,1.5058727899486392e-11,NA,47,47,47,3.01399806234226e-24,0.22407559648245973
ENSG00000204257.14,HLA-DMA,-8.607922295346407,-0.2727466045639494,7.439665747659684e-18,0.057425622278935745,0.23180070662205576,3.015761705592143e-10,NA,9,9,9,3.177005015184245e-18,0.2944642463144302
ENSG00000244731.7,C4A,8.599800301553634,0.18712058997723638,7.98549274872154e-18,0.11483583707190798,0.28943379224576543,3.415484103786971e-13,NA,42,42,42,9.875035316877138e-19,0.11144962217169066
ENSG00000204536.13,CCHCR1,-8.2551554874186,-0.3090413929643702,1.517046103140127e-16,0.040120045098635815,0.25372245473442817,1.9376264335138814e-11,NA,60,62,62,2.9900138138189755e-22,0.11145483742268486
ENSG00000213722.8,DDAH2,7.855705928233048,0.6541168951110458,3.975267714337915e-15,0.007808559969603908,0.1315219041077604,3.506303835336367e-06,NA,34,35,35,1.1189991536503956e-16,0.1096932516777288
ENSG00000204308.7,RNF5,7.797740714266137,0.31051223056925475,6.302533811704047e-15,0.032656316555076725,0.2310025206705001,1.4152220649426338e-10,NA,46,46,46,1.1189991536503956e-16,0.07426492425626244
ENSG00000137338.5,PGBD1,-7.79149848932298,-0.598532575059579,6.621910539068598e-15,0.011446819454629529,0.07467480620397215,0.0006813422780283705,NA,41,41,41,6.466013089354049e-19,0.04952525282236028
ENSG00000197062.11,ZSCAN26,7.492000650616297,0.3737218726811923,6.783158632537701e-14,0.02365703786039271,0.20829279810795048,5.999999584436332e-10,NA,32,32,32,8.574009428644088e-13,0.026631515770247888
ENSG00000187987.9,ZSCAN23,-7.238827000717276,-0.36226125874367554,4.525818806685212e-13,0.02370485169311673,0.19545779376645064,8.326804305024472e-09,NA,32,32,32,1.2589977706518037e-20,0.1491603985408056
ENSG00000186470.13,BTN3A2,6.925904523709589,0.1687465879199033,4.3319856645826396e-12,0.1266901792641444,0.3462226119791084,5.567907176671316e-16,NA,57,57,57,3.5189878966127434e-20,0.14263391413616405
ENSG00000214435.7,AS3MT,6.790471854090839,0.10783910223951423,1.1176738214384556e-11,0.21520653088701847,0.4154498269736998,4.929715252827e-22,NA,42,42,42,1.3659973188078826e-17,0.15832206018711242
ENSG00000137312.14,FLOT1,-6.775019703852939,-0.30851670842894197,1.2438930607234568e-11,0.03191476527946866,0.23124752284964795,2.67027273687236e-10,NA,107,108,108,1.4859996323923224e-22,0.05164156701478238
ENSG00000090975.12,PITPNM2,-6.623652190503038,-0.25253233404276537,3.504307692741553e-11,0.04239007422183,0.2063484554156061,4.419926577683837e-09,NA,68,68,68,2.278000883504939e-12,0.20416760880034815
ENSG00000231852.6,CYP21A2,-6.299705637337545,-0.12201913859097437,2.982114295001703e-10,0.1495291479306025,0.31857732739317285,5.317997535487551e-15,NA,45,45,45,9.875035316877138e-19,0.6181829340811775
ENSG00000137411.16,VARS2,6.0638865233366674,0.1479287581050088,1.328709185045473e-09,0.10863383056522116,0.4649269489520755,3.5502368675295925e-23,NA,56,59,59,2.9900138138189755e-22,0.19692787342054785
ENSG00000163938.16,GNL3,5.994012098033206,0.24115175349274565,2.0472613239150065e-09,0.032237162491988144,0.2788539950553537,2.613603866172863e-12,NA,31,31,31,4.037004934282079e-10,0.05440736044790799
ENSG00000204632.11,HLA-G,5.993565832080518,0.18129244437971495,2.0528900407305764e-09,0.07510021689195683,0.15657775996425846,5.188942275871415e-07,NA,44,46,46,1.0929981127999696e-21,0.1136578748014644
ENSG00000162971.10,TYW5,-5.883264048795666,-0.2437190341291855,4.0225340336496314e-09,0.03712750172371722,0.30002152206671023,1.714567290864861e-14,NA,33,33,33,1.300002096936922e-13,0.038911909721563435
ENSG00000100731.15,PCNX1,-5.648225514926748,-0.4531728844762875,1.6211243086706048e-08,0.009254150451225157,0.20005967772836228,3.4278255874463737e-09,NA,74,74,74,2.1880022162900088e-09,0.02510662880676585
ENSG00000250067.11,YJEFN3,-5.548599736421648,-0.3342622635579051,2.879665950858717e-08,0.01874532702364365,0.16396554451788722,2.454339427097152e-07,NA,27,27,27,1.9900006629514026e-07,0.12829217504353418
ENSG00000101213.6,PTK6,-5.471684063110418,-0.2906794470948071,4.4577902101220006e-08,0.017471297349343398,0.1024861165452343,7.324912646216342e-05,NA,20,20,20,2.1710014316493217e-06,0.11035848436685304
ENSG00000169592.14,INO80E,5.3727566586880515,0.21243109866469698,7.754194254318606e-08,0.03820811569436718,0.2342715576114267,1.571448988084507e-10,NA,58,58,58,1.0159987339742634e-09,0.19212647411423206
ENSG00000120903.12,CHRNA2,-5.25057622179108,-0.11821234193753234,1.5162414630227759e-07,0.12025899895828868,0.30905223297511203,7.567504249460775e-15,NA,43,44,44,1.8689978611693395e-06,0.22466577057421566
ENSG00000183955.12,KMT5A,-5.199035078870749,-0.8192676112005032,2.0032572136725513e-07,0.002324023363225376,0.03300381964941403,0.02427610644044936,NA,22,22,22,1.1380014233729088e-08,0.0374017189467831
