gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000146109.4,ABT1,9.21116499464542,1.9150752258576587,3.226043295668769e-20,0.0015630974227440076,0.025343650383016243,0.031635139409097644,NA,15,15,15,1.2329958036904974e-26,0.009870087663811774
ENSG00000204257.14,HLA-DMA,-8.885911536100368,-0.19618770057139726,6.339879049754116e-19,0.10768288462756503,0.2842399808089335,2.421051072401042e-16,NA,26,27,27,3.177005015184245e-18,0.3515285257965628
ENSG00000197062.11,ZSCAN26,8.69382952104742,0.27935158777229036,3.5042336486829804e-18,0.06514665352180032,0.4038734331745117,9.765740309742103e-24,NA,24,24,24,2.477991187590559e-27,0.059058996554818624
ENSG00000224389.8,C4B,-8.501188577537532,-0.4149309612291167,1.876592291998638e-17,0.022512492079114627,0.12988628940849278,5.842768480718679e-07,NA,20,20,20,9.875035316877138e-19,0.05635309824641064
ENSG00000112812.15,PRSS16,-8.3198183345343,-0.1779517582720271,8.809823599823891e-17,0.1391760735468795,0.2611365058043784,4.339490059957586e-14,NA,64,64,64,2.340996601095016e-23,0.2002630709962153
ENSG00000186470.13,BTN3A2,8.161108192762782,0.16958759162776046,3.3196464554099186e-16,0.1806658332064805,0.4729473671203815,4.1811515978097937e-29,NA,62,63,63,3.5189878966127434e-20,0.06594415916288247
ENSG00000272912.1,RP11-724N1.1,7.9723267280763235,0.19726423329142212,1.5571447183541275e-15,0.09691692729370806,0.2491499825563984,2.4399004582724093e-13,NA,34,34,34,1.3659973188078826e-17,0.16164130460294512
ENSG00000137185.11,ZSCAN9,-7.906377426747521,-0.45222677886536417,2.649869616257649e-15,0.020465933094808396,0.14404786345283954,8.554122289611324e-08,NA,71,73,73,8.598007899034212e-27,0.18830240716547714
ENSG00000204305.13,AGER,-7.890773631007856,-2.1704168298263786,3.003189643097018e-15,0.000665578398637406,0.025201558120971832,0.03347886628257543,NA,3,3,3,6.582984891016725e-16,0.04148516421058526
ENSG00000242574.8,HLA-DMB,-7.7838640989238055,-0.3296988160052419,7.034231886853488e-15,0.02906273311387521,0.13262885876758587,1.6053463719733965e-07,NA,36,37,37,3.177005015184245e-18,0.17710555603573594
ENSG00000204308.7,RNF5,7.6294309262206195,0.214051394395913,2.3579222666618407e-14,0.06784076273317544,0.22537771802073656,7.328117154519267e-12,NA,82,82,82,1.1189991536503956e-16,0.06797727319230416
ENSG00000198315.10,ZKSCAN8,7.509236815699511,0.9122250415108355,5.947305446313269e-14,0.004579530214516374,0.04642146585336007,0.002458822986207902,NA,14,14,14,2.762001460109071e-18,0.02907269251424993
ENSG00000214435.7,AS3MT,7.4994245220933164,0.12550755473529934,6.409861848969272e-14,0.21328297719724618,0.447797355598038,4.412138637793865e-27,NA,31,31,31,1.3659973188078826e-17,0.15470991827730954
ENSG00000244731.7,C4A,7.363182369674713,0.12019023676744801,1.795767704281581e-13,0.1997257713517218,0.4643361571962576,4.952906681222829e-28,NA,59,61,61,2.353991852327352e-19,0.18663060847499024
ENSG00000234127.8,TRIM26,-7.280571624925778,-0.2697820285856863,3.3240864174523546e-13,0.04323056980927331,0.17115261521977898,5.216166627027295e-09,NA,91,91,91,3.01399806234226e-24,0.08825859324841381
ENSG00000204301.6,NOTCH4,7.220637131582945,0.39090150949800256,5.174455962897825e-13,0.021810121293840013,0.12355988844691768,1.0829131531925357e-06,NA,11,11,11,1.429002025198127e-14,0.1282757838870011
ENSG00000137338.5,PGBD1,-7.217174966512453,-0.5822067370547612,5.307866650558788e-13,0.010905444873225437,0.11239878709647373,3.775526085642241e-06,NA,21,21,21,2.9529895217426503e-18,0.050111784765428914
ENSG00000204632.11,HLA-G,6.782728058254051,0.2560108280933025,1.1792749229553112e-11,0.04530211310989493,0.14072823018702954,9.253033960268824e-08,NA,29,30,30,5.764026821263344e-24,0.11072012897520364
