gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000204257.14,HLA-DMA,-8.882576371752553,-0.7721939848199861,6.532936569376381e-19,0.007532276435305534,0.07728701819317522,0.0005313033254836043,NA,11,11,11,3.177005015184245e-18,0.09163623049029487
ENSG00000197062.11,ZSCAN26,8.459947949877316,0.3536698317819438,2.674968905821552e-17,0.036200080472532946,0.27989919588124795,1.5683233961186393e-13,NA,31,31,31,4.1470147076671037e-29,0.04440432676853241
ENSG00000204308.7,RNF5,8.326121714303273,0.6338061009391445,8.35339184225948e-17,0.009046809722703386,0.10513529059717434,5.799095625713016e-05,NA,23,23,23,1.1189991536503956e-16,0.019361168344468764
ENSG00000244731.7,C4A,8.126538306094446,0.29275603004591794,4.417239518542634e-16,0.04257438687994125,0.2700503541827805,3.830755895267665e-12,NA,30,30,30,1.0660033413273186e-18,0.05575781787047784
ENSG00000204290.10,BTNL2,7.946581787644833,0.4275435809815269,1.9172831374490133e-15,0.019690302545616455,0.049346474780266,0.0058133212973377636,NA,32,32,32,1.0429978089887343e-15,0.09506315716376912
ENSG00000213722.8,DDAH2,7.420203582875958,1.9503248336829648,1.169404437386546e-13,0.0008621331669887261,0.030553011175765612,0.035472225082815736,NA,8,8,8,7.01500406276554e-15,0.014401126738461634
ENSG00000187987.9,ZSCAN23,-7.364956863054787,-0.3049906122894333,1.7720415939084845e-13,0.037417053329494965,0.21550169377196693,1.9292747790539607e-09,NA,13,13,13,3.560986171973223e-21,0.09096295463357278
ENSG00000204463.12,BAG6,7.216014802345603,0.1895398766423066,5.353323266541092e-13,0.09062558443068815,0.3849498992108327,4.706565026604993e-18,NA,59,61,61,5.444982443816086e-19,0.2811062510685625
ENSG00000204516.9,MICB,-7.009586532727135,-0.32167701907676816,2.3902342428982187e-12,0.028474483964148846,0.2299728067783765,3.001913291700096e-10,NA,26,26,26,2.084003526036348e-19,0.07928609507331077
ENSG00000270604.5,HCG17,6.986349384630787,0.37878722155564226,2.8213097326178197e-12,0.0213754782731241,0.06213714071153381,0.002160672296455784,NA,32,32,32,1.0929981127999696e-21,0.16522213579095368
ENSG00000186470.13,BTN3A2,6.979793528641429,0.15898912281286975,2.956141860351754e-12,0.12456202402577131,0.4379645175461005,1.9525153083958426e-22,NA,87,87,87,3.5189878966127434e-20,0.14491820251739648
ENSG00000204256.12,BRD2,-6.7194516084781375,-0.3568162283517984,1.8240974887345268e-11,0.021417461548353847,0.09375081577825367,0.0001422434925917757,NA,30,30,30,3.177005015184245e-18,0.16443603037158788
ENSG00000235109.7,ZSCAN31,-6.575416101420303,-0.14193405734152567,4.8517294649365253e-11,0.13627000679930876,0.4099072660050727,1.4584115397478324e-20,NA,29,29,29,8.574009428644088e-13,0.0986408999707865
ENSG00000148842.17,CNNM2,-6.424873061286495,-0.7618275929399004,1.3197960458888288e-10,0.00379358336217713,0.0787290442100664,0.0006067200112096485,NA,29,29,29,7.826016581153164e-17,0.0656347159071111
ENSG00000137411.16,VARS2,6.265326199101196,0.1572220817126169,3.720457553351153e-10,0.09437660004374505,0.4638329144767881,1.8867746318989644e-23,NA,48,48,48,2.781990401854357e-23,0.1851937334658987
ENSG00000120451.10,SNX19,6.253346963852633,0.1823683312825869,4.017482278128613e-10,0.06780661160239304,0.36249956939205785,1.2446420152605371e-17,NA,88,88,88,1.8229986179036327e-12,0.1338017416880634
ENSG00000204531.17,POU5F1,-6.2053834882031795,-0.27692941123728093,5.456368345468126e-10,0.0317103862933641,0.0704169178257988,0.0008216534946092592,NA,23,25,25,2.4289967039410676e-11,0.06745550879014119
ENSG00000224389.8,C4B,-6.203910465816082,-0.3822411328666965,5.507712815988018e-10,0.014814300526499447,0.04533151271599079,0.007820027906055821,NA,52,53,53,8.254968140302686e-20,0.11401966513384253
