gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000244731.7,C4A,8.342218818874708,0.31182357819206946,7.290937825057321e-17,0.03761296808934264,0.16920267126261268,1.285351061982302e-07,NA,56,57,57,6.094016978276565e-16,0.12763355382727354
ENSG00000204257.14,HLA-DMA,-7.68898647087782,-0.7174044620251919,1.4830514267743806e-14,0.006729163398033823,0.12313114532566807,1.1384701191031833e-05,NA,20,20,20,3.177005015184245e-18,0.06976988007794813
ENSG00000186470.13,BTN3A2,7.633172703582962,0.16720068886205008,2.2904571702914547e-14,0.12899293593951464,0.42716599205677336,4.285205465797649e-20,NA,74,76,76,3.5189878966127434e-20,0.24668193094286786
ENSG00000197062.11,ZSCAN26,7.322600736067372,0.36957500509969354,2.4321061351199907e-13,0.02358700023374434,0.1745101584868652,2.033615228291483e-07,NA,18,18,18,1.1980020056374274e-12,0.020977802194849186
ENSG00000120451.10,SNX19,6.296941361624271,0.21053710954750215,3.0357605192563126e-10,0.05666791776225705,0.42729111275816894,2.0021811834109355e-20,NA,27,27,27,1.8229986179036327e-12,0.09134765182712434
ENSG00000198315.10,ZKSCAN8,5.879854793710047,0.575903392294852,4.1062654253658565e-09,0.006489511133277006,0.08925825434778792,0.0002228855895110229,NA,37,38,38,4.1979978236426815e-12,0.04710036979393738
ENSG00000177082.12,WDR73,5.798907082065017,0.40642646161788776,6.67485018708244e-09,0.012453044746247283,0.09350535517614493,0.00021555388466464382,NA,19,19,19,5.098994934249443e-10,0.05451466402500499
ENSG00000114054.13,PCCB,-5.7306610040452535,-0.9494587712327318,1.0004002005071306e-08,0.0018248252300956933,0.04397033161244754,0.0111611994688935,NA,14,14,14,3.433997964609435e-09,0.032262684165987834
ENSG00000174939.10,ASPHD1,-5.69495677489381,-0.9198351958388856,1.2340318103636573e-08,0.002004982244243789,0.029243005329330708,0.04232733108824086,NA,12,12,12,1.7210001185225287e-09,0.12253690628687837
ENSG00000198951.11,NAGA,5.6171417546012306,0.4437989884763551,1.941421436632593e-08,0.009240805694696692,0.15616728771789298,6.705724226249389e-07,NA,18,19,19,7.418000377179184e-08,0.0488621393901524
ENSG00000183955.12,KMT5A,-5.599168728586834,-0.5359102984176289,2.1538208836914445e-08,0.006231026596560466,0.04270300310130587,0.014107172640045898,NA,36,36,36,3.842005061284242e-08,0.05942640336295753
ENSG00000270697.1,RP11-381K20.4,5.4501571556897686,0.4386713366694669,5.032532950802463e-08,0.009131948194538237,0.04427769753948009,0.011685314988200224,NA,25,25,25,2.9149990107913837e-08,0.03336138999861368
ENSG00000256053.7,APOPT1,-5.390826256491335,-0.3599452010106952,7.013445880721319e-08,0.013311658156570896,0.19654436602697545,2.278105810169547e-08,NA,35,35,35,7.0230011200241064e-12,0.06335514292441599
ENSG00000204516.9,MICB,-5.364869928245891,-0.2672709063067675,8.100757409434365e-08,0.021461111016370202,0.07448012734023572,0.0009203745791296025,NA,43,43,43,6.288009355639105e-11,0.062277335269044776
ENSG00000197978.9,GOLGA6L9,-5.360884858977452,-0.23750524927749528,8.28152921357015e-08,0.03008313766946866,0.11635473001997546,2.913054198437752e-05,NA,18,18,18,2.7030032295788387e-07,0.09252906148000956
ENSG00000198502.5,HLA-DRB5,5.306692003352137,0.10125652027689831,1.1163256545096729e-07,0.13775627747704278,0.5343971911736551,6.843910310379563e-28,NA,54,55,55,6.094016978276565e-16,0.1585519497730742
ENSG00000270604.5,HCG17,5.277664703154195,0.21965177993888593,1.3084058842827557e-07,0.03482411375700531,0.1959321871533444,1.2658556931256142e-08,NA,17,17,17,5.764026821263344e-24,0.2884554168713477
ENSG00000249203.1,RP11-473L15.3,-5.247363757566632,-0.4481364620734767,1.5429107086660283e-07,0.006782891593554169,0.048030742458259966,0.00778120998022738,NA,5,5,5,4.201003980376011e-07,0.054730587251430214
ENSG00000163634.11,THOC7,-5.1384603333399115,-0.3690962910183311,2.7699864836468053e-07,0.012387767882930226,0.19458406797179406,2.6025133059667984e-08,NA,55,55,55,7.332994920061448e-10,0.06133129199134976
ENSG00000204301.6,NOTCH4,5.109149393209537,0.22867223943884873,3.236124044253893e-07,0.030734614939650226,0.24741118635821915,1.1687662635445637e-10,NA,80,81,81,3.2540004594985876e-09,0.09997224804672418
ENSG00000255455.2,RP11-890B15.3,5.084363350180101,0.3395205435323154,3.688612164470168e-07,0.01351668557218846,0.15168566279935503,1.5135460269976725e-06,NA,20,20,20,1.771000945073705e-08,0.09973253989061973
ENSG00000036257.12,CUL3,-5.064185529116423,-0.7799731007166404,4.1015006650788247e-07,0.0027728646060364544,0.041631206564133036,0.01204350566216185,NA,36,36,36,4.7560023239264905e-08,0.030404646889991737
ENSG00000100731.15,PCNX1,-5.057149348832547,-0.25741802538241243,4.2556995223210953e-07,0.0221791620079383,0.17004029365472928,8.139210319062929e-08,NA,51,51,51,7.381998174908717e-09,0.06160957145411356
ENSG00000147905.17,ZCCHC7,5.055707296852262,0.34965331675151706,4.2879857199380415e-07,0.012758364464204617,0.02951920285213049,0.0391286282724542,NA,20,20,20,5.881001432806709e-06,0.09467295635111514
ENSG00000078043.15,PIAS2,5.054272657250829,0.7435388436959601,4.3203403857193133e-07,0.002679357220717833,0.029486186756537306,0.03974180537091515,NA,16,16,16,0.00010530003287655301,0.04630196824627464
ENSG00000189298.13,ZKSCAN3,5.0473707309645075,0.3148767391515925,4.4793164417553143e-07,0.016236976870353616,0.07875223448029163,0.0005781438022033488,NA,24,24,24,1.1980020056374274e-12,0.06413776341706601
ENSG00000162971.10,TYW5,-5.003000117186768,-0.34113096145215455,5.644490657593915e-07,0.014111653882004962,0.11628813338504562,3.0683868271233054e-05,NA,21,21,21,1.845998408217803e-07,0.022766283709878453
ENSG00000176681.14,LRRC37A,-4.982498251130618,-0.078041585058055,6.276855818119111e-07,0.23824011041600576,0.4173315157494256,4.785521301269139e-21,NA,60,64,64,0.00018930001959568553,0.3815362331757814
ENSG00000030110.12,BAK1,-4.939052544681653,-0.5154776887817676,7.850305895080288e-07,0.006386838132514184,0.09897377126692343,0.00013289026481992492,NA,13,14,14,6.046006136066996e-08,0.12943735728612524
ENSG00000111237.18,VPS29,-4.684961987037123,-0.45422236124567467,2.800118958753993e-06,0.007271503362502758,0.20371965321956154,8.783330980972738e-09,NA,19,19,19,6.256003743629413e-07,0.020440106003582263
ENSG00000163013.11,FBXO41,-4.535787004570894,-0.8878980591419109,5.738907619674282e-06,0.0013793658197515193,0.032967183612149314,0.027375158837111762,NA,25,25,25,5.920006557664491e-06,0.015099334992304118
ENSG00000231925.11,TAPBP,4.527337132960609,0.5935316940840651,5.973160490668255e-06,0.003529319287316162,0.03618629807798289,0.02381241141005397,NA,34,34,34,4.223999539521377e-05,0.025366914619648358
ENSG00000115649.15,CNPPD1,-4.496603128974226,-0.19898238160137371,6.90476964187918e-06,0.032509023913997195,0.30723476600660155,2.0564365938599e-13,NA,25,25,25,2.2510008936159915e-06,0.2053117501236826
ENSG00000235109.7,ZSCAN31,-4.436971460295523,-0.0901275346196911,9.12333841315997e-06,0.15200735319235495,0.3834690534263941,1.5533557624002423e-17,NA,37,37,37,9.568009058962132e-12,0.09760124200033754
ENSG00000268707.1,RP11-247A12.7,4.428895694903057,0.10899323957125519,9.471681363942138e-06,0.11996896491672474,0.3575929707715631,8.072495899853575e-17,NA,10,10,10,1.6190013809041427e-05,0.3125497928804902
ENSG00000204632.11,HLA-G,4.3951749500861546,0.09831386288225369,1.1068357410683719e-05,0.1118393918146329,0.12683745234630328,1.3293768489109908e-05,NA,66,66,66,8.587023125569317e-26,0.3331244896063769
ENSG00000254531.1,FLJ20021,-4.384721197945998,-0.43595851495932086,1.161344218143261e-05,0.006429666281331987,0.029465425138588783,0.04152659861153697,NA,59,59,59,0.0010769996666169827,0.06505513410108989
ENSG00000137185.11,ZSCAN9,-4.375397102743118,-0.5023258371020333,1.2121161072034828e-05,0.004190937010453949,0.07872124994394364,0.0004886628157309991,NA,36,36,36,3.035985996692993e-27,0.03523791840591363
ENSG00000162753.11,SLC9C2,-4.371503933021381,-0.40850226778188337,1.2339362714618343e-05,0.00765301510063581,0.13759352661702678,3.7433487504356462e-06,NA,26,26,26,2.5730007691378743e-05,0.13086168711410295
ENSG00000170802.15,FOXN2,-4.3407759757270705,-0.3222951865058993,1.4198042144784111e-05,0.013378618785392283,0.2959983088030393,1.968413547852392e-13,NA,21,21,21,1.836998574616601e-06,0.09468357943849252
ENSG00000251504.1,LINC01099,-4.318452749499394,-0.1054165922354814,1.5712685130712578e-05,0.1050744177988814,0.1228807937892575,1.7942441438829564e-05,NA,90,90,90,0.0020910005195231645,0.14719138313798474
ENSG00000168237.17,GLYCTK,4.313228252615873,0.1711341120955415,1.608878628690122e-05,0.03436562073688949,0.16740424977874768,2.6611821794791287e-07,NA,34,34,34,1.8149985598690374e-08,0.1245366659185312
ENSG00000182774.10,RPS17,-4.294380078542749,-0.5500472468018307,1.7518214022045136e-05,0.003750273856461929,0.06521691039983059,0.0021562883612178587,NA,24,24,24,2.1720024883994565e-07,0.03409377509997651
ENSG00000175806.14,MSRA,4.266645903967245,0.6518760491254987,1.9843373628865588e-05,0.0029662191485993845,0.06100648125932475,0.0029270468707798137,NA,16,17,17,2.4229979231652028e-05,0.04232811678921322
ENSG00000114767.6,RRP9,4.241940056830203,0.6558052372667853,2.2159588436660268e-05,0.002396911010502906,0.050354697223547684,0.007625221287641373,NA,6,6,6,1.9659991063589357e-08,0.05828614475568385
ENSG00000272335.1,RP11-53O19.3,-4.226240743861543,-0.39787681865001534,2.3762776117642427e-05,0.006221550629547955,0.04440395832530823,0.010220066523147456,NA,12,12,12,6.294005920715202e-06,0.04065575467913468
ENSG00000140022.9,STON2,4.216260966707548,0.5405337329324056,2.4838630467554772e-05,0.003852631723136279,0.09106431535923296,0.00015508431666400206,NA,9,9,9,0.0001596999707219414,0.042593565492083145
ENSG00000213676.10,ATF6B,4.214773423944229,0.18984113104261371,2.5002907421322004e-05,0.02950487113381631,0.2442255159551744,1.695547792843771e-10,NA,28,28,28,9.025996763260462e-05,0.09233542020243564
ENSG00000090238.11,YPEL3,-4.194801437390015,-0.656463547748902,2.7311072987492745e-05,0.0022746805412635074,0.0983420359968169,0.0001553083268363654,NA,8,8,8,1.4379985665871602e-06,0.046817407051686286
ENSG00000104870.12,FCGRT,4.181496217498377,0.7175040081581827,2.8959706977000757e-05,0.00213919275164221,0.09396095281012236,0.00021169660915205517,NA,10,10,10,9.074003197792408e-06,0.02009130285981191
ENSG00000163125.15,RPRD2,-4.163652713411404,-0.3099789493491609,3.131963780469753e-05,0.011366634415718675,0.07933325823742232,0.000615529940352921,NA,51,51,51,4.711002399842024e-08,0.29970524461890546
