gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000270604.5,HCG17,9.334303948052822,0.6263216052879668,1.0165698330936133e-20,0.013932222249611525,0.050669643567015074,0.006371243311006429,NA,26,26,26,5.764026821263344e-24,0.08567249059278678
ENSG00000244731.7,C4A,8.654202687172308,0.43118290140885596,4.963693054998453e-18,0.023363944702018455,0.1418183977643245,1.97910034094628e-06,NA,31,31,31,1.0660033413273186e-18,0.08933546075035402
ENSG00000186470.13,BTN3A2,8.468966623709367,0.2744624188511127,2.4757959926113613e-17,0.05910075321167321,0.2842654582666975,1.2912603775566732e-12,NA,51,53,53,3.5189878966127434e-20,0.07110215104633795
ENSG00000235109.7,ZSCAN31,-8.246672585740438,-0.3167786235540454,1.6286585524993377e-16,0.042320309585065344,0.18593908139783144,2.3854822114266002e-08,NA,28,28,28,2.9529895217426503e-18,0.0581080234058283
ENSG00000214435.7,AS3MT,7.52692885812492,0.17778598952564828,5.194765460259999e-14,0.10462266509814837,0.2997217648653581,6.489100397471583e-14,NA,68,68,68,1.3659973188078826e-17,0.10871024316819393
ENSG00000197062.11,ZSCAN26,7.467646886051723,0.3172030139746384,8.164157160139916e-14,0.034066638814300165,0.1857864514930399,2.825095766842121e-08,NA,38,38,38,5.922990917053614e-26,0.04407162136373472
ENSG00000204301.6,NOTCH4,6.450342156548661,0.9313802877245014,1.1159790935599157e-10,0.0031143124558996975,0.06709737264918993,0.0016340559075828651,NA,4,4,4,3.2540004594985876e-09,0.036677763913171485
ENSG00000204463.12,BAG6,5.97605068195954,0.46338190371474375,2.2861190374887196e-09,0.010762351562243411,0.1450337558549234,1.816283937911136e-06,NA,12,13,13,8.554994285259935e-13,0.03469183764109718
ENSG00000100731.15,PCNX1,-5.810974838152017,-0.489197637261222,6.211009932019705e-09,0.008912321202320416,0.1469151270329957,1.1484797004088877e-06,NA,41,41,41,3.756000418761223e-09,0.05866857957539105
ENSG00000137411.16,VARS2,5.669514998221184,0.15489361152834766,1.4320231512950245e-08,0.07706716857150463,0.3995726217063392,4.507637519239963e-19,NA,73,73,73,3.2930001318454106e-12,0.09239436534469636
ENSG00000100197.20,CYP2D6,-5.64805101409235,-0.1366206978465374,1.6227702801046072e-08,0.09841247167053754,0.4009734300148489,4.655287144325879e-19,NA,62,62,62,8.619997119621339e-08,0.12081975084029513
ENSG00000115524.15,SF3B1,5.578657416665583,0.8547035156699113,2.4238206843345665e-08,0.0022490468088902336,0.0625381053252102,0.0019159881495736648,NA,27,27,27,3.3980001912902895e-08,0.004584211927778079
ENSG00000030110.12,BAK1,-5.417435169219971,-1.2974161837745675,6.046006136066996e-08,0.0010932254261295366,0.09533923101904587,0.00011441374241132251,NA,1,2,2,6.046006136066996e-08,0.05117574951664248
ENSG00000204525.16,HLA-C,-5.4142943817604685,-0.14800586790077044,6.153086429050422e-08,0.08609016437090561,0.4264223249143174,4.288811175534299e-21,NA,41,43,43,2.5189991805800707e-10,0.1290080076690931
ENSG00000198951.11,NAGA,5.385246961926408,0.4678222033556181,7.23452460200318e-08,0.007497379188546214,0.1241992614920765,7.436436053253633e-06,NA,39,40,40,8.963992137067147e-08,0.03759965892551082
ENSG00000204308.7,RNF5,5.29580005015015,0.5225066640490968,1.1849644446076213e-07,0.005767479338359728,0.03636773608771463,0.018359364837751732,NA,49,50,50,4.69800780088031e-15,0.042004678062653414
ENSG00000120451.10,SNX19,5.2701566410488665,0.13443731299857667,1.3630738433348573e-07,0.08693806249617256,0.3283626441370575,7.238284174083472e-16,NA,61,61,61,1.8229986179036327e-12,0.1711015110856454
ENSG00000177096.8,FAM109B,5.18197863556707,1.4963831229571216,2.1954436743544186e-07,0.0007101337699740783,0.03840791884364972,0.01725892854192554,NA,4,5,5,8.963992137067147e-08,0.02109916567412388
ENSG00000198502.5,HLA-DRB5,5.111560141135433,0.10327995502824971,3.195090720992772e-07,0.13275671660215,0.5339745803899596,4.35599801358073e-30,NA,26,27,27,1.4939987779002543e-13,0.15066762320096427
ENSG00000116127.17,ALMS1,-5.025196341760896,-0.715813899230886,5.029177406144419e-07,0.0024463296039243226,0.052693860377014116,0.005061874743246008,NA,9,9,9,6.416995786777241e-07,0.02005937822771804
ENSG00000250091.2,DNAH10OS,5.021146732242812,0.22269079182139428,5.136390155528978e-07,0.029753408181090776,0.1243334869934545,6.181606496486377e-06,NA,46,46,46,5.007996467388951e-07,0.2598898369713092
ENSG00000055955.15,ITIH4,-4.962528827366693,-0.15530554720362394,6.958123516891694e-07,0.05783609766365573,0.3418400208428056,2.0198011011880938e-17,NA,22,22,22,6.624998380888288e-08,0.04357914759969511
ENSG00000159708.17,LRRC36,4.861937064662388,0.34408258285823795,1.1624258429314063e-06,0.010705847249133423,0.055314888409661735,0.004031988364778729,NA,27,27,27,9.606993985264612e-08,0.11449859122645235
ENSG00000224389.8,C4B,-4.826189014583711,-0.31880281778577196,1.391704334736383e-06,0.013805192004355303,0.04189031091238727,0.012899827469015152,NA,36,37,37,8.518998412794212e-10,0.35914522710876245
ENSG00000163634.11,THOC7,-4.750584507555226,-0.41634403378286006,2.0282950699556136e-06,0.007478113940072131,0.051340728319598274,0.004585029620601229,NA,26,26,26,7.332994920061448e-10,0.060822662764422726
ENSG00000228789.6,HCG22,-4.738206343436179,-0.27018148407867515,2.156181998636163e-06,0.018773470798606338,0.031105830912527162,0.0319638549189248,NA,33,34,34,2.112993691873394e-19,0.057815662330455576
ENSG00000187987.9,ZSCAN23,-4.71739161740233,-0.09638920846309146,2.3888758712202882e-06,0.13379050192736663,0.15702782624927955,3.47834942820028e-07,NA,106,106,106,1.1450039154173223e-17,0.4955552067359885
ENSG00000204632.11,HLA-G,4.668548950781244,0.11276681840964457,3.033345094801092e-06,0.11805571880769011,0.17344150097893818,4.7123697872343164e-08,NA,87,88,88,6.178026147489604e-23,0.2114751808007132
ENSG00000015413.9,DPEP1,-4.66009402546346,-0.2950177875234316,3.1606497029979377e-06,0.015453836127940946,0.09410424141894527,0.00014295406423686598,NA,22,22,22,1.0490006941584524e-05,0.0780497440126168
ENSG00000204540.10,PSORS1C1,4.658802708601764,0.13724413923043724,3.180538440611444e-06,0.0617162224859866,0.2971067033403044,2.4910523153744603e-13,NA,26,32,32,3.0389995499156065e-21,0.14366444059632785
ENSG00000158406.4,HIST1H4H,4.633754977593832,0.3003351105071879,3.5909198621716106e-06,0.011917304632681789,0.049586252364847386,0.004974126037575539,NA,21,21,21,1.4040010383899659e-05,0.10734777627631127
ENSG00000090097.21,PCBP4,4.607936335505738,1.1602501122057767,4.066851348959315e-06,0.000809987870003931,0.032342824659397515,0.030235470929020663,NA,5,5,5,2.560998911786507e-07,0.034321911132601815
ENSG00000197978.9,GOLGA6L9,-4.59584998325742,-0.2565137531703503,4.309887108721441e-06,0.019407537353244304,0.0906902926420704,9.240297044608151e-05,NA,20,20,20,2.7030032295788387e-07,0.04623547850101632
ENSG00000179344.16,HLA-DQB1,4.5703031378676515,0.09938838538621578,4.8701922785824645e-06,0.13261570940108555,0.5242198186893525,2.2102633559552723e-28,NA,13,13,13,7.485006637308115e-08,0.16091373571934375
ENSG00000226124.6,FTCDNL1,-4.537775036173944,-0.1398833998929376,5.685085936351445e-06,0.07515591859542115,0.3108346600110487,6.3615404933561586e-15,NA,20,20,20,1.300002096936922e-13,0.1076865590517883
ENSG00000170802.15,FOXN2,-4.495875510763994,-0.3671278951845005,6.9284265888728004e-06,0.01058125933820157,0.3172077769717951,5.2005391730533414e-15,NA,6,6,6,1.836998574616601e-06,0.1164609126344243
ENSG00000164088.17,PPM1M,4.486146588241423,0.36725670635416696,7.2522854583415275e-06,0.009076447282915453,0.06989967339180925,0.0010676791529422947,NA,34,34,34,3.4609953971649826e-10,0.0417530505515943
ENSG00000172638.12,EFEMP2,4.445861585021722,0.4460171188214198,8.754030190577985e-06,0.005442401420179855,0.04421096593857316,0.008745958364950254,NA,72,72,72,1.4869987566169478e-05,0.2932815829755061
ENSG00000272335.1,RP11-53O19.3,-4.4308888646336975,-0.3865917079776111,9.38454487881347e-06,0.007368941235161353,0.1034675805026752,5.502813867398835e-05,NA,30,30,30,7.064004892763864e-07,0.008701546324639107
ENSG00000122687.17,MRM2,-4.404581751888813,-0.16020762489153842,1.059881662502052e-05,0.04949347237126929,0.25672311622308397,1.4902863564888988e-11,NA,20,20,20,3.172003799498486e-08,0.21996965611424715
ENSG00000163125.15,RPRD2,-4.356498820543235,-0.40262913806909273,1.3215940500867601e-05,0.007162197350002156,0.11181352257837324,2.81781326148867e-05,NA,11,11,11,1.321999880598586e-06,0.05860036648357025
ENSG00000115073.7,ACTR1B,-4.2783308029174805,-0.4696792143240016,1.883000400592267e-05,0.004092041034647737,0.07191657039020685,0.0005882515089119022,NA,1,1,1,1.883000400592267e-05,0.1737368499946322
ENSG00000283361.1,RP11-569D9.5,4.244977425239897,0.39595683788357294,2.1861542928985406e-05,0.0067253651636698785,0.08470505960239019,0.00038413461325407453,NA,13,13,13,1.2409990381569075e-05,0.02237706090677568
ENSG00000146250.6,PRSS35,-4.235293055063165,-0.2201026046386986,2.2825383010305643e-05,0.021496386042288304,0.08487823605766616,0.00021198829744535305,NA,19,19,19,6.442999134082653e-07,0.2630876692947095
ENSG00000187741.14,FANCA,-4.227593634255017,-0.35347805844372765,2.3620389023198445e-05,0.008575807428467601,0.048168689197169635,0.007902328876912152,NA,9,9,9,7.188997014596548e-06,0.06628394247058242
ENSG00000145354.9,CISD2,-4.2045394335817745,-0.5808144111147462,2.6161432647800055e-05,0.0028349845053883527,0.06854454854558813,0.0014672531376263105,NA,76,76,76,3.621000093650092e-05,0.0835492880511007
ENSG00000157851.16,DPYSL5,4.200724766258112,0.39087734422659814,2.6606188054407213e-05,0.007080304544717748,0.10793739078651712,3.192276299013696e-05,NA,18,18,18,0.00015260003181698597,0.043666715439055835
ENSG00000105926.15,MPP6,-4.1908975873342325,-0.4679506089796235,2.7785306326486603e-05,0.004763347157877865,0.09539850787848576,0.00014819826264693027,NA,11,11,11,4.850998380273937e-05,0.06612796151575268
