gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000244731.7,C4A,9.567140530970896,0.3593041609554265,1.0990326406510621e-21,0.0353889036275382,0.1434339971738298,2.1488390096613694e-07,NA,62,62,62,2.353991852327352e-19,0.07611308538114285
ENSG00000204305.13,AGER,-8.150838286858525,-1.3892309742779538,3.6141014494740888e-16,0.0015872355573545113,0.05382594294466116,0.0019385583612649144,NA,37,38,38,6.582984891016725e-16,0.07628968678220195
ENSG00000204632.11,HLA-G,7.759644868784988,0.22074906730683022,8.51675306834669e-15,0.07928546971396894,0.2007323178305132,3.6858406245329685e-10,NA,56,57,57,1.5450016310382422e-26,0.1130773544782355
ENSG00000197062.11,ZSCAN26,7.486535493709229,0.20454976571080358,7.071542714806499e-14,0.0780946010991782,0.2567349134241789,5.669859937493456e-13,NA,54,57,57,9.359013487344804e-19,0.4538018014491268
ENSG00000204301.6,NOTCH4,7.201051807180065,0.40126568025721526,5.974983807775595e-13,0.01902684404961067,0.04925717849445405,0.0027170451096341737,NA,44,45,45,4.9139982913005084e-14,0.10641612817406378
ENSG00000270604.5,HCG17,7.167320661750959,0.28313216812359104,7.647975415697016e-13,0.03948346621169552,0.1549505740223105,7.150446992096799e-08,NA,28,28,28,3.7990081201683914e-24,0.08974353624317817
ENSG00000137312.14,FLOT1,-7.13609162340929,-0.6242265903001715,9.602201785777187e-13,0.00881483560354623,0.1544985397990873,3.879794976027628e-08,NA,20,21,21,4.798012934212177e-23,0.10499766329433496
ENSG00000186470.13,BTN3A2,6.388797196806604,0.11690404645224546,1.6719562035368884e-10,0.1955235276997483,0.474659822723341,6.420902689871839e-30,NA,92,93,93,4.211985929751918e-24,0.19307058469794905
ENSG00000010704.18,HFE,6.222190292238209,0.31168346005650577,4.902618941402025e-10,0.020728732380104926,0.04072981432447268,0.00787334275807228,NA,89,89,89,4.742998161803932e-24,0.1947936415991243
ENSG00000235109.7,ZSCAN31,-6.101129185281159,-0.1461204876306417,1.0532173889669335e-09,0.10326598954892452,0.2631739523709994,1.7414767984984456e-13,NA,44,44,44,2.9529895217426503e-18,0.21008995813914774
ENSG00000162971.10,TYW5,-6.087676652773158,-0.42882514432756,1.1456094357242731e-09,0.01393881928632454,0.09177003223997564,5.172667863042476e-05,NA,21,21,21,1.2139986064115467e-12,0.049004402311189466
ENSG00000163634.11,THOC7,-6.082469340245453,-0.45460046363759454,1.1834553260653662e-09,0.010294154807822236,0.15867687707704725,5.3468062449370804e-08,NA,12,12,12,7.332994920061448e-10,0.1099091759113713
ENSG00000120451.10,SNX19,5.886814906750152,0.16986028501245473,3.937092136614561e-09,0.06683353417719026,0.29924210530808776,1.6223029347245045e-15,NA,59,59,59,1.8229986179036327e-12,0.16790290990413276
ENSG00000177082.12,WDR73,5.871062623005767,0.41359007576318235,4.330106556961527e-09,0.012533661680956112,0.07890364331851778,0.000171860010731591,NA,15,15,15,4.380005684230356e-09,0.06707643889338454
ENSG00000204257.14,HLA-DMA,-5.745697473121001,-0.41614048622712013,9.154285077376781e-09,0.011273807783512026,0.04269157522823884,0.004920316159800712,NA,34,34,34,3.177005015184245e-18,0.061027936403066814
ENSG00000114054.13,PCCB,-5.744009878126092,-0.3177767018944743,9.246039055133743e-09,0.016350389830598333,0.22525112127279245,1.6807017560052358e-11,NA,12,12,12,9.991991462225792e-10,0.03877691338796314
ENSG00000163938.16,GNL3,5.741165148805829,0.5272620457549446,9.402733470934697e-09,0.0059791396701795885,0.10163320278812724,7.5589641848763975e-06,NA,14,14,14,2.7499962180738607e-10,0.09731421454834473
ENSG00000259946.1,RP11-490G2.2,5.728658366850459,0.3858770623248928,1.0122802391177473e-08,0.012388009812687863,0.03477111592008895,0.013763219752145952,NA,58,59,59,1.9060010331203766e-14,0.057942586809806414
ENSG00000198951.11,NAGA,5.692779393460443,0.2585729281048895,1.2498783585334533e-08,0.02799826582465863,0.3208323495010027,1.2669519577825168e-16,NA,33,35,35,7.418000377179184e-08,0.041219013492627916
ENSG00000129933.20,MAU2,-5.673889636347877,-1.5906930978073541,1.3959108176556551e-08,0.00068441201905504,0.027085161176870824,0.030454202454324668,NA,5,5,5,2.856996753794728e-08,0.019750886541181137
ENSG00000204371.11,EHMT2,5.4860382522351525,0.6103140042463563,4.1104792453962547e-08,0.0047564049611441405,0.10892263450591594,8.985787968745042e-06,NA,12,12,12,1.4899976661631506e-13,0.032292621038849445
ENSG00000171962.17,DRC3,5.391130564174563,0.6964147265592981,7.001577836652046e-08,0.0037466775322112194,0.0630184600520488,0.0008481835092776581,NA,9,9,9,2.4299969474865493e-08,0.04161046620024675
ENSG00000236104.2,ZBTB22,5.3374693030715,0.645341125282431,9.425285371123119e-08,0.00462165933916094,0.0945781773225744,3.5018176590020136e-05,NA,25,25,25,4.479997102465292e-06,0.1001282197372702
ENSG00000112763.15,BTN2A1,-5.273959737893089,-0.9708563742044166,1.3351120972945707e-07,0.0016991058437180505,0.027382637327191997,0.02561493202053036,NA,12,12,12,9.48899717208076e-15,0.0195998223835256
ENSG00000198502.5,HLA-DRB5,5.238685998125652,0.08863122913884112,1.6172393115378197e-07,0.17295781058604265,0.5453365211446899,1.3630468739091852e-35,NA,41,42,42,9.496015711976202e-15,0.1994639351926369
ENSG00000206503.12,HLA-A,5.184590639860782,0.23785062743861143,2.164898409136605e-07,0.026962181768077888,0.20167465584018815,4.129947359242983e-10,NA,78,80,80,8.06203786919898e-24,0.16256404439165767
ENSG00000155975.9,VPS37A,-5.120174498741795,-0.8421490067972133,3.052530685774059e-07,0.0019878234802953422,0.05905560728676727,0.0013106674936741733,NA,6,6,6,9.974987467188945e-08,0.03678391900057259
