gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000270604.5,HCG17,9.54539180870577,0.287953747755461,1.3559407593299514e-21,0.06720439026368293,0.2032702194561393,5.437709832680484e-09,NA,31,31,31,3.01399806234226e-24,0.07406442927015049
ENSG00000204410.14,MSH5,9.400770410029462,0.9618927323786349,5.416500079668087e-21,0.0045306085157167456,0.07187548003627223,0.0008808840479215352,NA,14,15,15,2.353991852327352e-19,0.03569487677731735
ENSG00000244731.7,C4A,9.045877118090237,0.4229680658823614,1.484683722847892e-19,0.023731635072253628,0.106002336500678,5.570255686224634e-05,NA,59,59,59,6.874973177970148e-19,0.05154274458396232
ENSG00000204257.14,HLA-DMA,-8.675643251960668,-0.8606468452197392,4.11219392251621e-18,0.004610171266518274,0.09578254409253588,0.000176035061772226,NA,2,2,2,3.177005015184245e-18,0.1002646603156678
ENSG00000234127.8,TRIM26,-8.644510454596396,-0.44798232582165204,5.403646742399528e-18,0.022682186618860532,0.1256061669825196,6.4020279416520675e-06,NA,32,32,32,5.764026821263344e-24,0.13573070890218433
ENSG00000197062.11,ZSCAN26,8.160670145911215,0.22010249362595083,3.331708759621467e-16,0.0813348112592222,0.2392178775989225,3.112728339928383e-10,NA,37,37,37,6.087009068100948e-16,0.22442306665852216
ENSG00000186470.13,BTN3A2,6.878569029049753,0.16870238377729568,6.045675402097125e-12,0.09949481576131469,0.3122068637699115,1.632780528941665e-14,NA,51,51,51,4.211985929751918e-24,0.3749060624136422
ENSG00000204536.13,CCHCR1,-6.770295985820594,-0.3988195891297182,1.2851919436760904e-11,0.014471716176507339,0.2118712020705746,4.956580986778348e-09,NA,21,21,21,1.275999218571856e-14,0.03960404203005302
ENSG00000224389.8,C4B,-6.576704354448114,-0.438283311098444,4.809897925401841e-11,0.012221000980903007,0.1374104494844882,4.6951496748027125e-06,NA,66,68,68,1.1189991536503956e-16,0.10086667710674986
ENSG00000120451.10,SNX19,6.461864541169973,0.16817545255100214,1.0342065923064386e-10,0.08349972393620878,0.4146094943061622,8.74478620506226e-20,NA,50,50,50,1.8229986179036327e-12,0.20969539588972733
ENSG00000187987.9,ZSCAN23,-6.380829145494737,-0.34815113758010113,1.761317272439855e-10,0.020905425414885374,0.13944695301119114,3.42824530541134e-06,NA,11,11,11,3.804005895254788e-13,0.09141644285318576
