gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000186470.13,BTN3A2,8.278604313197064,0.22682708608466104,1.2462730022547886e-16,0.07983326730582496,0.2568726217386192,1.6351841738063906e-07,NA,63,66,66,3.5189878966127434e-20,0.08713214023809981
ENSG00000187987.9,ZSCAN23,-7.746668186328334,-0.34201801244847,9.433503955691583e-15,0.033404401378382104,0.10555878276696312,0.0017483617955681608,NA,15,15,15,8.031985567052427e-21,0.10968459924914672
ENSG00000235109.7,ZSCAN31,-7.268621519705074,-0.12338036637570833,3.631743626889538e-13,0.21182880708759297,0.36004600621324234,3.915194343150536e-11,NA,64,64,64,2.9529895217426503e-18,0.2647534016104537
ENSG00000281831.1,HCP5B,-7.052004398013302,-0.16490625464420164,1.7635862730197383e-12,0.10390735763843956,0.11500561992285215,0.0008639484425664501,NA,71,75,75,4.798012934212177e-23,0.3216977672336094
ENSG00000197062.11,ZSCAN26,6.913275965351796,0.2555888458305667,4.735873609018582e-12,0.043355481220260186,0.12260011892450695,0.00017066633841057792,NA,50,50,50,3.5299907969420026e-21,0.06336583225739129
ENSG00000270604.5,HCG17,6.354399316586508,0.28942380823015246,2.0924264149192634e-10,0.02621446384924852,0.04891235280959939,0.03628228355681718,NA,14,14,14,6.620996272885116e-19,0.11919305688534282
ENSG00000214435.7,AS3MT,6.022224126250849,0.16978584250688658,1.7203643983932358e-09,0.06109875609648272,0.2478180767294439,4.924822318947577e-08,NA,47,47,47,1.3659973188078826e-17,0.06261846905897503
ENSG00000174939.10,ASPHD1,-5.644671191296299,-0.7219638979727635,1.6549723431322647e-08,0.0038631017960533785,0.04762138721146415,0.03430294931328408,NA,18,18,18,1.7210001185225287e-09,0.017612294442715136
ENSG00000204632.11,HLA-G,5.531247262339904,0.16039966470779035,3.1796174429428914e-08,0.07009419017096222,0.05336183865667024,0.022254758164161285,NA,45,46,46,1.0929981127999696e-21,0.1666700956776925
ENSG00000204709.4,LINC01556,-5.495516775481459,-0.20607480102664577,3.895679069934797e-08,0.04591298253141293,0.15347532902988054,7.62413866189048e-05,NA,38,38,38,1.2589977706518037e-20,0.11646276366781393
ENSG00000137337.14,MDC1,5.436690614501302,0.5379269320329948,5.427926699825339e-08,0.005314934471007685,0.1156293759954344,0.0009281127571238351,NA,46,47,47,1.2550006926305717e-10,0.0354803034250332
ENSG00000183172.8,SMDT1,5.017788032245007,0.5492267616962823,5.226980104086099e-07,0.004291476563789785,0.12727280551438622,0.0003254465333626589,NA,24,26,26,8.619997119621339e-08,0.04031625504935277
ENSG00000100197.20,CYP2D6,-4.887309491348917,-0.13296633126266308,1.0222333213950727e-06,0.07322008735501637,0.4053043938242658,4.8814709126395504e-14,NA,17,17,17,2.540998625684871e-08,0.1692682383520884
ENSG00000112343.10,TRIM38,-4.868735508230954,-0.33761815598148803,1.1231461378966266e-06,0.011375711494718105,0.0395526856166826,0.04864531396246806,NA,66,66,66,5.138014411133121e-19,0.12664555186094256
ENSG00000204531.17,POU5F1,-4.814536229115801,-0.11353772788152167,1.4754213589179932e-06,0.11689475729159354,0.3278400144363435,6.976418846259043e-10,NA,31,43,43,7.804008329582054e-11,0.13584416980611808
ENSG00000198951.11,NAGA,4.805583382875633,0.2333362068399972,1.5430091230801209e-06,0.02265152309730154,0.2125029167978376,1.037407788417e-06,NA,50,51,51,4.482005565097224e-08,0.12620375080863155
ENSG00000115649.15,CNPPD1,-4.677597452917211,-0.21497015248505646,2.9025564070428657e-06,0.03114054159318694,0.08207909688331706,0.006422009056982655,NA,15,15,15,2.2510008936159915e-06,0.07432917358398439
ENSG00000138107.12,ACTR1A,4.601539629546052,0.7005606128528967,4.1937934227551405e-06,0.002593326753792608,0.0574908051694668,0.018082775998360532,NA,51,51,51,3.9709966653590105e-13,0.014792994108994938
ENSG00000204516.9,MICB,-4.581406897274581,-0.1494641111267742,4.61858214607438e-06,0.060632538350291344,0.1845079171332893,1.7539459880350492e-05,NA,70,72,72,1.1259984610655811e-15,0.6528303333687289
ENSG00000164088.17,PPM1M,4.55776599470041,0.3691657389158623,5.1700592669005e-06,0.009031020263378584,0.16005537211521298,5.428880422681786e-05,NA,6,6,6,2.454999770661101e-07,0.06810855600265482
ENSG00000074410.13,CA12,-4.557126815747873,-0.30070726123208186,5.185811621629967e-06,0.014932298057068447,0.07671681020209109,0.0075098521474204075,NA,30,30,30,2.6210023381778516e-05,0.18142343663553315
ENSG00000120451.10,SNX19,4.552585743084296,0.09020472972303081,5.299055256965442e-06,0.14793675994392602,0.40414094035230347,8.869492526273842e-13,NA,61,61,61,4.798007407729918e-12,0.34138277259397004
ENSG00000146166.16,LGSN,-4.548853185918395,-0.09899339255404781,5.3939056073158305e-06,0.11573138516837479,0.2592151974150654,4.4796842941980566e-08,NA,24,24,24,1.1119988324421795e-06,0.115297408931418
ENSG00000171962.17,DRC3,4.529795977601922,0.20077806680715404,5.904067162113387e-06,0.037312210902371995,0.09497911286002708,0.002623449153575673,NA,15,15,15,2.9000028314527024e-08,0.10076982333451484
ENSG00000114988.11,LMAN2L,-4.520162238798489,-0.3343531386651002,6.179225841483664e-06,0.009970134107349827,0.21874798861422048,2.10771535220706e-06,NA,9,10,10,1.6910019707414284e-06,0.13088135311563015
ENSG00000198502.5,HLA-DRB5,4.445542980072861,0.08885126124623013,8.767015017860022e-06,0.14401296239920391,0.5111819397119782,1.7834711461356523e-17,NA,44,44,44,3.5499995754075585e-15,0.12659553425785486
ENSG00000278662.4,GOLGA6L10,4.3735007089320606,0.06727073985460566,1.2226984760883826e-05,0.25244166841431237,0.2230439930183472,1.4120587951764292e-07,NA,58,58,58,5.463005626893635e-07,0.15751490861722686
ENSG00000170802.15,FOXN2,-4.373210628589665,-0.49950334309940414,1.2243249540569053e-05,0.004576047736342577,0.049916236716023236,0.018596779292035667,NA,6,6,6,1.836998574616601e-06,0.10802810210960001
ENSG00000197978.9,GOLGA6L9,-4.356376401852071,-0.09597407562624075,1.3223330566908574e-05,0.12908818822767398,0.13372266137692476,7.361375817003188e-05,NA,34,34,34,4.836002246019767e-07,0.1889489917474951
ENSG00000166275.15,BORCS7,4.350506478028475,0.2736163545613655,1.3582344231216507e-05,0.013152109312094314,0.08831588842276349,0.003383121655296355,NA,6,6,6,5.4860043408829714e-06,0.11816842070898782
ENSG00000262246.5,CORO7,-4.32548111732661,-0.21138304677343367,1.521993066287372e-05,0.02445054568802351,0.16532656938641305,3.011058264898366e-05,NA,13,13,13,3.2449963181402155e-06,0.03520466410708087
ENSG00000146007.10,ZMAT2,4.320657832297993,0.2362098048913591,1.5556473938809576e-05,0.021131613272816124,0.05015967242447807,0.032192408071274624,NA,66,67,67,4.066999621942304e-06,0.15517541028055662
ENSG00000176681.14,LRRC37A,-4.278247379333147,-0.08160944963602614,1.883706097897119e-05,0.15837608211353854,0.22560197693933565,1.5874102875901791e-07,NA,57,59,59,1.0699992818409167e-05,0.3213588943329075
ENSG00000006744.18,ELAC2,4.216647863195663,0.1597660770478413,2.4796072065484532e-05,0.04577646421473849,0.3564558762142395,1.4711481891967783e-10,NA,24,24,24,5.031994602909149e-06,0.09423462639824616
ENSG00000132600.16,PRMT7,4.205844885077555,0.3292409317877892,2.601085953037581e-05,0.010639597868095728,0.14558013297715602,0.00015757622722828213,NA,7,7,7,9.606993985264612e-08,0.11228735275141556
ENSG00000174080.10,CTSF,-4.204694900948778,-0.24544847379858845,2.6143457375854354e-05,0.018373679015557053,0.05094877559439128,0.029301183012869114,NA,21,22,22,0.0004732998633859215,0.09761430446818233
ENSG00000242866.9,STRC,-4.195537220436677,-0.5940287422504055,2.7222557569330124e-05,0.0027777444095101584,0.07062961626675926,0.011343856019188886,NA,8,8,8,2.758000830868194e-05,0.01627396168715768
ENSG00000235979.8,AC004448.5,-4.184736452842963,-0.19177112030230045,2.854971349976962e-05,0.028010345885265867,0.16036524717373565,5.423828624912058e-05,NA,8,8,8,5.208002326935023e-07,0.08063858085888018
ENSG00000272505.1,RP11-981G7.6,4.182924050690974,0.19154856416357283,2.8778355347971237e-05,0.02914988307583366,0.10778781608319356,0.001568336766655794,NA,27,27,27,1.4750011416185869e-05,0.0944403159830818
ENSG00000175155.8,YPEL2,-4.177831030559056,-0.36465078553000246,2.943021535221257e-05,0.007941088264013211,0.04960616388426307,0.030105012783638238,NA,42,42,42,5.603000322634528e-05,0.09057245825142424
ENSG00000100393.12,EP300,4.161076435337886,0.3710368546085073,3.167510396130009e-05,0.00659296524130178,0.05557680923726936,0.024116495216575416,NA,13,13,13,4.136004045927979e-09,0.1953457698788044
ENSG00000163354.14,DCST2,-4.12610688613149,-0.11329047921644032,3.689558394519504e-05,0.07564874618431378,0.2445159753780637,4.954851294017607e-07,NA,37,37,37,1.3859997876720047e-05,0.2957405425151585
ENSG00000055955.15,ITIH4,-4.11578028098079,-0.23673662639293122,3.8587176656980136e-05,0.01408825981392724,0.09973771943257308,0.00043390914133516363,NA,22,22,22,6.624998380888288e-08,0.014486608445606576
