gene_name	z_mean	pvalue
CCHCR1	-6.852892468833891	4.333714985006775e-17
HLA-DMA	-7.962396974872756	1.107194019048826e-16
HLA-DMB	-7.659198481678841	1.8485926928509952e-15
AGER	-5.629239052762742	7.431592323986794e-15
NOTCH4	5.001010862484907	1.0353557669143495e-13
BRD2	-4.131098897136711	1.3587186956524937e-13
PPP1R13B	2.164386419402263	6.14448868405407e-10
ZNF391	-3.4303723307932725	5.3805023114112565e-9
TNFRSF13C	-3.463488264039821	7.740654108699472e-9
MICB	-4.9358580457463725	1.7252330838896422e-8
TYW5	-4.908570678971348	2.349615032345687e-8
MFSD13A	0.5309362386887307	4.4603162623391954e-8
HLA-B	-0.9014500755959466	7.820207629017342e-8
HLA-DQB1	4.28638861118894	1.2198277283768534e-7
EHMT2	3.050161413541396	2.1892197005936613e-7
HLA-DRB5	5.021975746057336	3.156598201728876e-7
HLA-DRB1	1.4802277702244877	3.585488745753882e-7
ASPHD1	-3.8887448981476695	3.8103805783037236e-7
ZAP70	-0.6277348652501206	4.216305537076384e-7
HLA-C	-4.777511525523741	4.307038856228185e-7
CPEB1	-3.99698427797656	8.555885253736777e-7
ATP6V1G2	2.3312887251079455	1.2393498647942795e-6
CFB	-4.780454171675072	1.7489962604674577e-6
GLYCTK	4.086945414588562	2.6414820362868825e-6
PACSIN3	2.417359642706759	3.073164576388747e-6
VARS2	4.692697188909155	4.311327877612963e-6
REEP2	2.1517161644331426	5.331811316087252e-6
RNF112	2.178578925193629	1.2076105268054748e-5
HLA-DPB1	2.2513092641169683	1.2874609117660423e-5
ARC	4.342660605042719	1.40767509597444e-5
HLA-DQB2	-1.5787699710031102	1.565341085760485e-5
EFNA3	4.281613798709472	1.8554279585123864e-5
CENPM	-4.010289491104402	2.1503810293129907e-5
ITIH4	-4.0535514113235545	2.2902634495437377e-5
PRSS35	-1.4366791920179092	2.6875950339223e-5
SP4	2.8501492403981232	2.7792079308979425e-5
FBXO41	-2.43257503215191	2.9892187998710266e-5
TMEM81	3.72833974778932	3.0224143680777742e-5
ALMS1	-2.955905729964893	3.3050959959948436e-5
CISH	4.1408797280590885	3.4597634403171815e-5
NFAM1	-4.093770613179496	4.244142062634429e-5
IL17RB	-0.3933257369994695	4.559688526740915e-5
TMCO6	4.185432021946908	4.816375226439296e-5
SPA17	3.1566249335645535	6.21557645764361e-5
MGAT3	-2.8643593778204712	6.284563336167147e-5
GPR27	-2.043480519795204	6.649355156805424e-5
KCNG1	3.9499590297258074	7.816457159773443e-5
AP3B2	-2.8608589600031022	8.657354660710269e-5
HLA-F	2.238111555535836	9.577263652636377e-5
GOLGA6L10	3.803379354266714	1.0521885095752e-4
BRINP1	1.8444028585745944	1.1266979786968e-4
KRTCAP3	1.7133276081942292	1.1701564121206e-4
FAM178B	-1.9371372688582429	1.176444842932e-4
CTSF	-2.7159020161183314	1.2069392201337e-4
ZNF112	-3.3292740232029483	1.2815898449111e-4
QPCT	3.490863650286697	1.3207146788814e-4
ELMO3	-1.2143277784176711	1.3850429615968e-4
COL11A2	2.116301023520971	1.440017023741e-4
ZNF235	-2.838920497602781	1.4590706725371e-4
CA12	-3.1326283066835714	1.4861415523264e-4
KCNS3	0.7437168482312561	1.4925978250069e-4
TMTC1	3.211127243922069	1.5507616159874e-4
SPIRE2	-2.394679305996062	1.6177269526261e-4
PLCH2	0.5360776050441226	1.65844468502e-4
WNT2B	-2.069384634376511	1.7295918839579e-4
DLG2	-3.746250694851689	1.7949721619623e-4
NRIP2	1.403283287848141	1.8045193431303e-4
MSRA	1.875126259698452	1.8429253157917e-4
SPINK8	2.9751397286926515	1.849476430704e-4
STON2	2.810921993816788	1.8977187310887e-4
NTAN1	-2.339101703465963	1.9307374318585e-4
CACNA1C	-2.5966784917318155	1.9465661946966e-4
FABP3	-3.7861185063111784	2.0472326346131e-4
ZNRF3	0.34781303018881987	2.141415943677e-4
SEMA4G	-0.08383680267032112	2.7470479197969e-4
SMPD3	-0.07585746752407985	2.9051053971923e-4
KCNK3	-1.797534575496525	2.9432714145721e-4
B3GAT1	-0.2869019482615489	2.9716413467485e-4
CARD16	2.7332481981359655	3.0467014422743e-4
TNNT3	3.602728080405832	3.1489489007324e-4
PRSS3	-2.419885553552219	3.1544183873272e-4
