gene_name	z_mean	pvalue	upregulated
BRD2	-0.5046192520729577	2.6921601674997675e-5	DOWN
CCHCR1	-1.0386665933123316	5.6421156230999e-4	DOWN
HLA-DOA	-1.3888649685264518	5.8607487479039e-4	DOWN
DAPK2	-1.60410054985564	8.081117511439e-4	DOWN
GRIA2	-2.520251957263028	0.00107322433715679	DOWN
RDH12	-3.0521676007916634	0.00227195206355062	DOWN
PRSS27	-2.937516768396528	0.00330852279133866	DOWN
PCP4L1	-2.8743374116914944	0.00404876169948523	DOWN
GFRA2	-1.1702131144494698	0.00452762046126899	DOWN
HLA-C	-0.2224019013565516	0.00675397368948898	DOWN
PIF1	-2.585017610699113	0.00719247210548187	DOWN
ITPR3	-0.35382608689748996	0.00801381976000831	DOWN
GPRC5B	-2.3247330625023808	0.00950280706550982	DOWN
CADM2	-2.4009546508643433	0.01128187210335676	DOWN
MPP2	-0.6412874173488097	0.01209823767524372	DOWN
ELL3	-2.479992474505864	0.01313851556271357	DOWN
PCDHGA3	-2.47577776398976	0.01329463031184815	DOWN
SDR16C5	-0.4854866548246328	0.0134044237224478	DOWN
ADCY1	-2.4470154393304364	0.01440446684932892	DOWN
PENK	-2.7761651619347356	0.01443843536567124	DOWN
TMCC2	-1.3651385072201083	0.0149492520751808	DOWN
SUPT3H	-0.03252787709226883	0.01617961000871567	DOWN
WDR17	-0.9571269359519344	0.01684337100227369	DOWN
ZNF208	-1.4758937584259264	0.01703990626873516	DOWN
GOLT1A	-0.39215589846829824	0.01775973219602923	DOWN
MOK	-1.1766488336092515	0.01797704066598232	DOWN
LRRC73	-0.5287752539807101	0.01930699998736912	DOWN
SPEG	-0.5733809143450629	0.02065418910234313	DOWN
ZNF829	-0.6863615394815712	0.02252761463692755	DOWN
STAC2	-1.6944000411942088	0.023245070077166	DOWN
PRTG	-1.243430866230844	0.0236531548197598	DOWN
TC2N	-1.181304149973407	0.02404107496366553	DOWN
PAX8	-1.3731069166732968	0.0246413270177746	DOWN
SCRG1	-0.8406722880592125	0.02574261624058033	DOWN
CCT6B	-0.12383826009720976	0.02673859191028738	DOWN
RAB11FIP5	-1.6328057209031497	0.02754843298050219	DOWN
RANBP3L	-2.203245168595715	0.02757747329897786	DOWN
DGKD	-2.1685630215000846	0.03011587514939122	DOWN
CACNA1C	-1.4557301648663232	0.03022884761485873	DOWN
CCDC191	-2.1548836138341527	0.03117094296628014	DOWN
C2CD4C	-0.05802765549628264	0.0315867761449091	DOWN
DPYSL3	-1.7001009094208823	0.03412660733944323	DOWN
STEAP3	-1.011586886805464	0.03427255268147431	DOWN
ACSS3	-0.6950489498769511	0.03444974912242703	DOWN
SMPD3	-0.8742853471734249	0.03465351508203147	DOWN
VWA1	-2.103746682039394	0.03540054999324773	DOWN
